Min,Max
28.415,35.892
28.449,35.879
28.402,35.895
28.407,35.878
28.352,35.877
28.434,35.877
28.367,35.894
28.345,35.881
28.374,35.945
28.398,35.873
28.417,35.896
28.404,35.91
28.388,35.901
28.39,35.887
28.411,35.942
28.486,35.933
28.538,35.904
28.443,35.869
28.406,35.848
28.413,35.887
28.437,35.859
28.437,35.877
28.427,35.907
28.506,35.866
28.469,35.816
28.413,35.797
28.441,35.829
28.466,35.895
28.476,35.865
28.449,35.858
28.441,35.855
28.472,35.849
28.458,35.95
28.479,35.91
28.506,35.909
28.519,35.915
28.443,35.867
28.452,35.867
28.457,35.839
28.399,35.878
28.454,35.859
28.468,35.841
28.443,35.852
28.453,35.856
28.489,35.853
28.443,35.88
28.498,35.853
28.396,35.846
28.399,35.802
28.423,35.825
28.42,35.79
28.402,35.779
28.419,35.827
28.357,35.805
28.502,35.831
28.491,35.832
28.522,35.839
28.487,35.82
28.487,35.845
28.47,35.819
28.461,35.807
28.462,35.814
28.445,35.771
28.414,35.777
28.456,35.847
28.464,35.783
28.55,35.83
28.565,35.826
28.604,35.887
28.606,35.858
28.634,35.871
28.711,35.873
28.69,35.867
28.684,35.863
28.647,35.876
28.582,35.858
28.621,35.845
28.686,35.851
28.711,35.892
28.705,35.891
28.759,35.854
28.829,35.885
28.875,35.909
28.907,35.895
28.862,35.893
28.924,35.807
28.976,35.847
29.035,35.864
29.009,35.859
29.016,35.853
28.981,35.826
28.976,35.83
28.947,35.763
28.938,35.794
28.95,35.81
28.942,35.814
28.95,35.788
28.955,35.808
28.946,35.794
28.967,35.796
28.926,35.815
28.923,35.799
28.9,35.775
28.786,35.767
28.794,35.777
28.833,35.814
28.856,35.786
28.825,35.759
28.804,35.809
28.865,35.818
28.838,35.862
28.913,35.813
28.856,35.846
28.965,35.815
28.863,35.801
28.801,35.818
28.77,35.788
28.813,35.789
28.867,35.851
28.834,35.789
28.851,35.831
28.844,35.832
28.871,35.816
28.785,35.754
28.851,35.781
28.76,35.776
28.817,35.763
28.808,35.791
28.774,35.784
28.859,35.781
28.791,35.823
