Min,Max
24.74,33.89
24.76,33.849
24.762,33.846
24.788,33.864
24.743,33.864
24.682,33.842
24.705,33.853
24.67,33.859
24.636,33.855
24.689,33.847
24.656,33.824
24.698,33.856
24.625,33.867
24.648,33.836
24.647,33.904
24.659,33.843
24.672,33.884
24.747,33.904
24.805,33.851
24.793,33.85
24.752,33.829
24.678,33.71
24.64,33.695
24.564,33.721
24.592,33.749
24.577,33.696
24.642,33.759
24.641,33.709
24.659,33.723
24.729,33.781
24.691,33.784
24.664,33.771
24.648,33.745
24.642,33.785
24.589,33.767
24.548,33.75
24.557,33.768
24.461,33.702
24.427,33.77
24.461,33.704
24.508,33.752
24.492,33.731
24.468,33.778
24.53,33.779
24.435,33.753
24.5,33.771
24.537,33.804
24.507,33.806
24.463,33.793
24.454,33.752
24.445,33.747
24.462,33.794
24.411,33.791
24.474,33.765
24.449,33.793
24.443,33.84
24.431,33.782
24.465,33.83
24.496,33.82
24.512,33.869
24.545,33.824
24.495,33.822
24.535,33.852
24.531,33.814
24.609,33.905
24.555,33.862
24.631,33.859
24.611,33.919
24.593,33.831
24.639,33.853
24.649,33.866
24.679,33.899
24.65,33.941
24.651,33.906
24.677,33.904
24.502,33.842
24.55,33.855
24.583,33.841
24.548,33.817
24.505,33.852
24.514,33.844
24.583,33.829
24.599,33.861
24.565,33.8
24.611,33.795
24.621,33.823
24.541,33.814
24.715,33.817
24.599,33.81
24.634,33.803
24.572,33.787
24.563,33.827
24.676,33.799
24.696,33.803
24.641,33.778
24.641,33.778
24.641,33.778
24.641,33.778
24.86,33.865
24.83,33.898
24.847,33.87
24.817,33.877
24.845,33.858
24.773,33.816
24.834,33.857
24.843,33.828
24.832,33.921
24.907,33.887
24.955,33.904
25.001,33.931
25.015,33.918
25.016,33.941
25.018,33.967
25.06,33.936
25.031,33.94
25.071,33.927
25.063,33.941
25.047,33.938
25.109,33.916
25.125,33.957
25.14,33.944
25.155,33.881
25.127,33.959
25.187,33.939
25.143,33.961
25.206,33.975
25.261,33.963
25.164,33.935
25.171,33.961
25.224,33.92
25.254,33.952
25.287,33.963
25.294,33.974
25.295,33.981
25.346,33.987
25.354,33.971
25.32,33.981
25.393,33.946
25.388,33.9
25.425,33.931
25.413,33.923
25.458,33.939
25.49,33.881
25.42,33.856
25.426,33.833
25.418,33.839
25.464,33.861
25.46,33.857
25.549,33.884
25.558,33.923
25.578,33.978
25.582,33.948
25.657,33.9
25.559,33.874
25.63,33.877
25.653,33.895
25.604,33.908
25.665,33.852
25.779,33.897
25.797,33.861
25.765,33.858
25.738,33.88
25.879,33.909
25.9,33.868
25.925,33.907
25.98,33.887
25.949,33.902
26.014,33.935
26.075,33.946
26.078,33.928
26.041,33.937
26.052,33.899
26.056,33.925
26.083,33.926
26.167,33.913
26.179,33.9
26.207,33.909
26.213,33.936
26.3,33.973
26.285,33.956
26.306,33.924
26.25,33.893
26.269,33.885
26.255,33.922
26.263,33.913
26.246,33.909
26.218,33.919
26.23,33.909
26.182,33.896
26.23,33.931
26.246,33.91
26.291,33.958
26.278,33.951
26.275,33.953
26.307,33.931
26.323,33.93
26.365,33.935
26.328,33.949
26.331,33.964
26.349,33.938
26.396,33.989
26.397,33.985
26.384,33.979
26.355,34.011
26.356,33.922
26.38,33.896
26.398,33.869
26.409,33.904
26.453,33.961
26.459,33.952
26.493,33.973
26.518,33.98
26.492,33.962
26.528,33.959
26.525,33.997
26.508,33.966
26.53,33.998
26.488,33.973
26.466,33.959
26.457,33.933
26.489,33.929
26.464,33.89
26.462,33.92
26.466,33.894
26.468,33.937
26.424,33.921
26.49,33.928
26.483,33.945
26.44,33.936
26.443,33.914
26.457,33.953
26.396,33.899
26.442,33.928
26.445,33.917
26.46,33.877
26.456,33.951
26.538,33.977
26.523,33.987
26.501,33.989
26.554,34.004
26.551,34.0
26.587,34.016
26.582,34.011
26.58,33.994
26.571,34.013
26.488,33.997
26.537,34.004
26.531,33.952
26.506,33.966
26.505,33.996
26.561,34.031
26.608,34.062
26.619,34.044
26.653,34.024
26.634,34.092
26.628,34.053
26.65,34.058
26.672,34.043
26.677,34.024
26.637,34.03
26.631,34.014
26.618,34.028
26.592,34.017
26.617,33.986
26.662,33.999
26.677,33.997
26.662,34.003
26.646,34.0
26.619,33.961
26.614,33.909
26.613,33.93
26.657,33.921
26.661,33.944
26.687,33.955
26.685,33.893
26.629,33.867
26.657,33.871
26.635,33.827
26.636,33.86
26.643,33.852
26.744,33.905
26.802,33.97
26.814,33.983
26.837,34.044
26.833,34.031
26.806,33.994
26.835,33.982
26.859,33.976
26.855,33.964
26.857,33.969
26.911,33.972
26.912,33.986
26.898,33.962
26.808,33.928
26.835,33.962
26.859,33.989
26.86,33.982
26.818,33.974
26.838,33.921
26.875,33.965
26.878,33.969
26.888,33.997
26.822,33.956
26.824,33.96
26.828,33.962
26.953,34.017
26.953,34.007
26.947,34.004
26.998,34.045
27.01,34.058
26.982,34.014
26.968,34.022
27.002,34.014
27.025,34.027
27.01,34.006
