Min,Max
26.588,34.467
26.61,34.45
26.608,34.392
26.604,34.351
26.637,34.409
26.732,34.498
26.575,34.577
26.489,34.59
26.545,34.612
26.533,34.561
26.694,34.567
26.542,34.556
26.577,34.576
26.605,34.58
26.679,34.601
26.616,34.577
26.628,34.58
26.576,34.584
26.59,34.599
26.596,34.607
26.691,34.61
26.749,34.616
26.771,34.692
26.718,34.723
26.821,34.668
26.975,34.691
26.96,34.728
26.972,34.742
26.947,34.713
26.957,34.652
26.956,34.635
26.934,34.691
26.945,34.676
26.972,34.74
26.935,34.746
26.965,34.771
26.966,34.81
27.005,34.764
26.981,34.741
26.953,34.707
26.962,34.74
26.956,34.792
27.006,34.83
27.001,34.85
27.007,34.844
27.001,34.857
26.995,34.819
27.003,34.766
26.996,34.861
26.962,34.85
26.971,34.839
26.971,34.839
26.971,34.839
26.971,34.839
26.971,34.839
26.949,34.875
26.947,34.805
26.942,34.753
26.934,34.736
26.906,34.727
26.928,34.751
26.923,34.81
26.906,34.828
26.895,34.782
26.926,34.799
26.906,34.788
26.918,34.831
26.913,34.874
26.877,34.825
26.898,34.81
26.916,34.708
26.925,34.73
26.933,34.755
26.936,34.787
26.936,34.833
26.914,34.788
26.905,34.804
26.899,34.791
26.919,34.826
26.893,34.821
26.915,34.822
26.897,34.733
26.913,34.748
26.933,34.762
26.919,34.798
26.897,34.814
26.879,34.819
26.906,34.831
26.899,34.844
26.899,34.859
26.888,34.885
26.919,34.876
26.898,34.848
26.933,34.864
26.912,34.857
26.891,34.827
26.903,34.803
26.876,34.804
26.889,34.801
26.894,34.848
26.889,34.816
26.855,34.837
26.846,34.844
26.866,34.816
26.887,34.793
26.856,34.803
26.859,34.823
26.853,34.792
26.838,34.802
26.865,34.821
26.836,34.796
26.885,34.856
26.876,34.804
26.878,34.841
26.86,34.857
26.87,34.867
26.846,34.877
26.863,34.86
26.868,34.885
26.889,34.889
26.881,34.815
26.843,34.817
26.848,34.82
26.85,34.841
26.874,34.875
26.858,34.853
26.888,34.842
26.861,34.841
26.847,34.876
26.852,34.846
26.836,34.811
26.834,34.85
26.855,34.836
26.846,34.854
26.837,34.926
26.845,34.917
26.86,34.903
26.878,34.907
26.85,34.878
26.865,34.901
26.86,34.835
26.831,34.822
26.862,34.877
26.839,34.796
26.851,34.835
26.805,34.814
26.842,34.877
26.811,34.824
26.842,34.894
26.882,34.879
26.841,34.799
26.837,34.823
26.82,34.872
26.822,34.824
26.806,34.786
26.84,34.842
26.822,34.806
26.807,34.858
26.84,34.823
26.823,34.859
26.826,34.903
26.81,34.814
26.818,34.855
26.8,34.857
26.806,34.826
26.808,34.866
26.837,34.837
26.816,34.849
26.808,34.824
26.781,34.795
26.767,34.825
26.789,34.776
26.82,34.806
26.82,34.806
26.82,34.806
26.82,34.806
26.82,34.806
26.909,34.919
26.907,34.926
26.932,34.908
26.931,34.987
26.922,34.926
26.923,34.937
26.939,34.97
26.949,34.95
26.924,34.924
26.928,34.934
26.936,34.942
26.969,34.939
26.951,34.951
26.968,34.94
26.932,34.899
26.927,34.939
26.937,34.935
26.968,35.0
26.976,34.99
26.944,34.874
26.951,34.923
26.927,34.922
26.917,34.936
26.938,34.972
26.97,34.979
26.952,34.937
26.972,34.922
26.929,34.934
26.936,34.965
26.944,34.943
26.957,34.943
26.951,34.94
26.927,34.914
26.923,34.957
26.914,34.868
26.896,34.893
26.888,34.85
26.907,34.912
26.878,34.783
26.882,34.868
26.874,34.864
26.865,34.859
26.898,34.874
26.9,34.901
26.884,34.856
26.913,34.95
26.935,34.91
26.933,34.934
26.917,34.946
26.952,34.952
26.957,34.96
26.968,34.942
26.956,34.985
26.926,34.938
26.957,34.931
26.941,34.952
26.927,34.97
26.949,34.925
26.952,34.992
26.952,34.949
26.951,34.929
26.927,34.896
26.884,34.924
26.901,34.925
26.874,34.904
26.873,34.901
26.903,34.91
26.887,34.888
26.867,34.854
26.875,34.925
26.887,34.942
26.881,34.921
26.922,34.943
26.95,34.977
26.876,34.896
26.894,34.93
26.906,34.916
26.899,34.875
26.91,34.926
26.903,34.948
26.915,34.937
26.939,34.983
26.945,35.004
26.915,34.927
26.932,34.974
26.914,34.913
26.918,34.963
26.923,34.9
26.926,34.932
26.951,34.957
26.954,34.998
26.948,34.97
26.921,34.982
26.937,34.948
26.896,34.944
26.876,34.94
26.863,34.895
26.905,34.926
26.917,34.931
26.879,34.921
26.872,34.937
26.917,34.953
26.9,34.913
26.904,34.933
26.883,34.888
26.9,34.924
26.897,34.941
26.894,34.93
26.91,34.945
26.895,34.938
26.898,34.901
26.852,34.893
26.891,34.925
26.909,34.963
26.881,34.965
26.892,34.989
26.879,34.955
26.879,34.955
26.879,34.955
26.879,34.955
26.879,34.955
26.879,34.955
26.964,34.985
26.957,34.979
26.961,35.044
26.959,34.992
26.966,35.013
26.968,35.018
26.96,34.986
26.972,35.037
26.991,34.983
26.996,34.997
26.983,35.03
26.993,35.043
26.991,35.001
26.991,35.042
26.974,35.02
26.979,35.077
26.978,35.069
27.022,35.031
27.013,35.018
26.997,35.056
27.005,35.025
27.011,35.067
26.975,35.04
26.975,35.032
26.959,35.029
26.956,35.047
26.957,35.042
26.922,35.052
26.935,34.998
26.921,35.007
26.926,34.978
26.913,35.035
26.952,35.079
26.979,35.055
26.996,35.028
27.006,35.025
26.99,35.01
26.985,35.053
27.0,35.097
27.018,35.091
27.007,35.08
27.028,35.075
27.032,35.051
27.038,35.124
26.958,34.979
26.965,35.064
26.98,35.044
26.97,35.03
27.004,35.129
27.012,35.134
26.969,35.116
26.975,35.106
26.983,35.128
26.992,35.073
27.016,35.05
27.0,35.063
26.972,35.048
26.981,35.06
26.967,35.11
26.973,35.049
26.984,35.05
26.952,35.037
26.97,35.051
26.97,35.033
26.963,35.054
26.942,35.035
26.942,34.983
26.919,34.995
26.938,35.014
26.96,35.05
26.969,35.099
26.96,35.084
26.933,35.051
26.92,35.006
26.923,35.06
26.932,35.028
26.946,35.04
26.951,35.062
26.97,35.08
26.986,35.119
26.963,35.112
26.976,35.033
26.964,35.077
26.956,35.058
26.954,35.055
26.97,35.101
26.942,35.044
26.941,35.078
26.939,35.039
26.933,35.052
26.912,35.048
26.9,34.992
26.871,34.899
26.867,34.941
26.85,34.967
26.884,34.984
26.893,34.993
26.892,34.979
26.866,34.941
26.863,34.943
26.855,34.938
26.843,34.963
26.845,35.009
26.827,34.974
26.895,35.0
26.903,35.032
26.886,35.009
26.864,34.974
26.875,34.997
26.889,34.991
26.886,35.003
26.87,34.973
26.87,34.973
26.87,34.973
26.87,34.973
26.87,34.973
26.967,35.008
26.931,35.007
26.928,34.988
26.934,35.002
26.935,34.955
26.938,35.035
26.927,34.975
26.901,34.977
26.917,34.977
26.951,35.001
26.908,35.002
26.921,34.986
26.945,35.048
26.926,35.019
26.959,35.027
26.945,35.039
26.95,35.056
26.938,34.963
26.964,35.017
26.908,34.967
26.911,34.993
26.895,34.931
26.858,34.953
26.882,34.924
26.902,34.93
26.92,34.956
26.906,34.931
26.88,34.945
26.9,35.02
26.907,35.007
26.907,35.009
26.878,34.995
26.904,35.025
26.912,35.001
26.938,35.02
26.949,35.023
26.907,34.956
26.899,34.989
26.854,34.997
26.866,34.977
26.883,34.92
26.888,34.998
26.868,34.944
26.899,34.935
26.854,34.906
26.849,34.927
26.866,34.926
26.845,34.918
26.854,34.897
26.848,34.967
26.879,34.979
26.839,34.998
26.835,34.86
26.818,34.907
26.838,34.965
26.871,34.956
26.882,34.974
26.849,34.973
26.836,34.959
26.858,34.919
26.861,34.947
26.881,34.946
26.887,34.931
26.853,34.911
26.876,34.948
26.877,34.986
26.896,34.961
26.874,34.99
26.896,34.93
26.887,34.933
26.894,34.935
26.862,34.923
26.878,34.951
26.88,34.929
26.87,34.982
26.86,34.945
26.868,34.995
26.888,34.921
26.876,34.998
26.895,34.972
26.884,35.011
26.855,34.965
26.892,34.965
26.88,34.97
26.868,34.924
26.867,34.907
26.877,34.93
26.875,34.966
26.861,34.979
26.833,34.919
26.819,34.935
26.836,34.906
26.853,34.915
26.855,34.907
26.83,34.907
26.834,34.922
26.818,34.915
26.847,34.934
26.844,34.937
26.86,34.959
26.898,35.008
26.844,35.002
26.872,34.923
26.872,34.942
26.852,34.958
26.855,34.938
26.84,34.953
26.85,34.911
26.833,34.898
26.862,34.95
26.843,34.909
26.847,34.921
26.844,34.907
26.856,34.921
26.866,34.906
26.854,34.932
26.856,34.905
26.871,34.908
26.871,34.908
26.871,34.908
26.871,34.908
26.914,35.044
26.93,34.997
26.925,34.99
26.948,35.022
26.966,35.047
26.962,35.04
26.924,35.059
26.928,34.99
26.928,34.988
26.912,35.004
26.896,34.979
26.949,34.985
26.912,34.992
26.934,34.989
26.929,35.018
26.931,34.989
26.924,34.968
26.936,34.994
26.932,34.932
26.926,34.986
26.926,34.993
26.918,35.002
26.945,35.032
26.958,35.027
26.932,34.993
26.952,35.088
26.923,35.014
26.938,35.026
26.932,35.027
26.912,34.999
26.919,35.042
26.904,34.959
26.928,35.006
26.931,34.978
26.902,35.028
26.925,35.005
26.919,34.965
26.94,34.994
26.933,34.996
26.932,34.979
26.918,34.975
26.918,35.008
26.889,35.018
26.912,35.005
26.917,35.012
26.912,35.045
26.927,35.066
26.928,35.007
26.923,35.028
26.927,35.001
26.919,35.009
26.938,35.005
26.917,35.008
26.9,34.958
26.908,34.982
26.893,34.975
26.902,34.956
26.914,34.946
26.918,34.952
26.89,35.023
26.904,34.994
26.886,34.955
26.888,34.918
26.887,34.975
26.897,35.012
26.873,34.938
26.896,34.943
26.901,34.934
26.887,34.909
26.868,34.915
26.866,34.865
26.846,34.887
26.858,34.925
26.859,34.938
26.846,34.938
26.851,34.942
26.841,34.934
26.86,34.938
26.843,34.908
26.871,34.943
26.853,34.919
26.878,34.937
26.879,34.932
26.84,34.966
26.868,34.976
26.877,34.999
26.848,34.958
26.86,34.91
26.809,34.938
26.83,34.91
26.835,34.966
26.828,34.882
26.81,34.914
26.83,34.915
26.813,34.923
26.829,34.917
26.837,34.917
26.843,34.937
26.799,34.884
26.784,34.82
26.813,34.872
26.808,34.869
26.816,34.892
26.799,34.872
26.774,34.853
26.812,34.875
26.824,34.931
26.845,34.95
26.837,34.904
26.801,34.903
26.794,34.871
26.803,34.902
26.793,34.866
26.778,34.902
26.785,34.882
26.779,34.862
26.794,34.889
26.817,34.897
26.817,34.897
26.817,34.897
26.817,34.897
26.817,34.897
26.959,35.017
26.968,34.997
26.95,35.03
26.956,35.024
26.976,35.061
26.963,35.11
26.987,35.043
26.935,35.041
26.942,35.063
26.978,35.085
26.979,35.048
26.986,35.062
27.001,35.098
26.996,35.062
26.955,35.084
26.972,35.121
26.967,35.101
26.958,35.167
26.988,35.15
26.977,35.093
26.958,35.082
26.966,35.129
26.969,35.061
26.963,35.062
26.963,35.043
26.929,35.007
26.939,35.044
26.957,35.033
26.925,35.034
26.936,35.037
26.908,35.052
26.898,34.981
26.889,34.992
26.884,35.011
26.872,35.003
26.86,34.979
26.914,35.04
26.894,35.016
26.885,34.979
26.908,35.0
26.913,35.026
26.929,35.014
26.924,35.02
26.909,35.029
26.897,35.056
26.887,35.029
26.858,34.976
26.876,34.955
26.857,34.977
26.871,34.966
26.858,34.965
26.842,34.967
26.837,34.977
26.863,34.988
26.813,34.916
26.827,34.939
26.848,35.017
26.867,35.022
26.871,35.04
26.87,35.007
26.867,35.011
26.837,35.033
26.856,35.042
26.859,35.008
26.861,35.011
26.867,35.02
26.882,34.969
26.882,34.933
