Min,Max
27.677,36.733
27.768,36.745
27.757,36.724
27.625,36.705
27.729,36.685
27.704,36.695
27.854,36.699
27.924,36.699
27.822,36.649
27.916,36.648
27.774,36.712
27.705,36.711
27.855,36.67
27.937,36.692
27.84,36.689
27.778,36.668
27.866,36.691
27.867,36.69
27.775,36.632
27.886,36.634
27.886,36.679
27.755,36.658
27.915,36.646
27.886,36.665
27.8,36.657
27.832,36.63
27.986,36.644
27.876,36.646
27.899,36.621
27.868,36.633
27.868,36.633
27.868,36.633
27.868,36.633
27.868,36.633
28.151,36.754
27.944,36.755
28.01,36.762
27.959,36.737
28.001,36.756
28.057,36.744
28.162,36.757
28.177,36.742
28.293,36.79
28.232,36.819
28.262,36.824
28.24,36.829
28.213,36.844
28.34,36.87
28.305,36.864
28.316,36.865
28.203,36.83
28.148,36.79
28.259,36.837
28.234,36.837
28.323,36.817
28.325,36.805
28.316,36.755
28.183,36.73
28.28,36.73
28.174,36.769
28.228,36.785
28.189,36.749
28.208,36.776
28.332,36.773
28.413,36.777
28.412,36.775
28.236,36.792
28.375,36.765
28.288,36.79
28.419,36.776
28.219,36.758
28.221,36.738
28.331,36.819
28.338,36.811
28.326,36.821
28.396,36.856
28.359,36.818
28.313,36.804
28.425,36.842
28.476,36.826
28.44,36.822
28.426,36.811
28.345,36.793
28.439,36.785
28.36,36.808
28.463,36.812
28.285,36.808
28.281,36.781
28.551,36.815
28.355,36.816
28.335,36.773
28.467,36.787
28.464,36.818
28.171,36.815
28.346,36.864
28.413,36.84
28.247,36.817
28.312,36.776
28.279,36.767
28.371,36.798
28.436,36.77
28.478,36.778
28.253,36.765
28.273,36.782
28.376,36.782
28.497,36.766
28.371,36.783
28.467,36.755
28.654,36.785
28.535,36.781
28.547,36.798
28.654,36.827
28.404,36.792
28.449,36.775
28.481,36.777
28.52,36.786
28.277,36.791
28.415,36.752
28.385,36.801
28.468,36.736
28.435,36.761
28.513,36.797
28.522,36.815
28.394,36.755
28.184,36.831
28.561,36.801
28.392,36.826
28.429,36.854
28.568,36.88
28.536,36.86
28.488,36.822
28.65,36.819
28.537,36.802
28.631,36.844
28.507,36.84
28.579,36.788
28.511,36.792
28.698,36.813
28.528,36.825
28.411,36.779
28.697,36.777
28.464,36.819
28.682,36.839
28.618,36.827
28.649,36.834
28.671,36.806
28.776,36.807
28.755,36.828
28.585,36.793
28.577,36.778
28.573,36.82
28.563,36.812
28.563,36.812
28.563,36.812
28.563,36.812
28.563,36.812
28.528,36.811
28.63,36.822
28.643,36.834
28.668,36.848
28.534,36.835
28.544,36.83
28.629,36.798
28.501,36.818
28.579,36.79
28.702,36.82
28.584,36.799
28.577,36.828
28.518,36.796
28.531,36.784
28.618,36.834
28.703,36.875
28.569,36.822
28.726,36.833
28.533,36.843
28.788,36.853
28.734,36.846
28.638,36.801
28.761,36.796
28.637,36.805
28.659,36.772
28.565,36.768
28.672,36.802
28.699,36.793
28.701,36.79
28.842,36.804
28.757,36.825
28.61,36.804
28.71,36.873
28.746,36.881
28.636,36.875
28.789,36.856
28.804,36.841
28.714,36.857
28.767,36.827
28.819,36.855
28.806,36.869
28.661,36.859
28.656,36.841
28.644,36.854
28.719,36.845
28.859,36.853
28.87,36.863
28.835,36.867
28.715,36.845
28.569,36.858
28.746,36.858
28.781,36.85
28.792,36.815
28.802,36.821
28.734,36.81
28.611,36.839
28.655,36.834
28.893,36.823
28.901,36.809
28.837,36.786
28.915,36.793
28.848,36.785
28.798,36.811
28.74,36.848
28.665,36.835
28.862,36.818
28.774,36.799
28.823,36.798
28.959,36.833
29.001,36.811
28.658,36.774
28.981,36.773
28.904,36.795
28.812,36.767
28.665,36.728
28.7,36.736
28.523,36.745
28.683,36.78
28.731,36.767
28.729,36.779
28.54,36.785
28.743,36.732
28.667,36.752
28.613,36.762
