Min,Max
29.705,36.895
29.801,36.886
29.827,36.92
29.814,36.902
29.683,36.902
29.671,36.843
29.756,36.855
29.802,36.835
29.747,36.904
29.75,36.892
29.765,36.849
29.774,36.906
29.743,36.88
29.757,36.809
29.761,36.859
29.704,36.849
29.694,36.911
29.726,36.912
29.703,36.936
29.665,36.928
29.701,36.928
29.682,36.913
29.684,36.91
29.679,36.892
29.716,36.864
29.658,36.853
29.705,36.886
29.744,36.911
29.731,36.893
29.74,36.832
29.805,36.824
29.781,36.848
29.73,36.859
29.724,36.823
29.689,36.842
29.673,36.828
29.637,36.872
29.671,36.902
29.645,36.921
29.658,36.91
29.708,36.889
29.713,36.895
29.738,36.904
29.684,36.882
29.695,36.904
29.68,36.86
29.701,36.884
29.738,36.802
29.74,36.808
29.661,36.871
29.722,36.808
29.621,36.824
29.634,36.869
29.617,36.84
29.654,36.874
29.637,36.835
29.619,36.843
29.581,36.82
29.562,36.749
29.608,36.802
29.645,36.838
29.653,36.825
29.698,36.853
29.613,36.839
29.601,36.814
29.732,36.803
29.651,36.792
29.677,36.835
29.689,36.844
29.698,36.81
29.686,36.875
29.669,36.839
29.678,36.837
29.681,36.953
29.608,36.822
29.766,36.856
29.684,36.872
29.668,36.911
29.7,36.956
29.855,36.893
29.822,36.869
29.663,36.858
29.743,36.886
29.704,36.877
29.856,36.844
29.832,36.874
29.872,36.862
29.827,36.889
29.892,36.883
29.906,36.932
29.876,36.906
29.874,36.942
29.865,36.918
29.878,36.878
29.848,36.923
29.839,36.849
29.847,36.868
29.796,36.863
29.696,36.882
29.727,36.928
29.775,36.887
29.785,36.903
29.789,36.896
29.822,36.891
29.802,36.894
29.806,36.824
29.773,36.829
29.739,36.867
29.649,36.865
29.679,36.834
29.659,36.839
29.667,36.907
29.705,36.902
29.639,36.852
29.626,36.903
29.679,36.911
29.65,36.934
29.671,36.873
29.67,36.848
29.722,36.882
29.759,36.902
29.717,36.857
29.802,36.861
29.801,36.87
29.788,36.835
29.726,36.837
29.754,36.855
29.807,36.877
29.85,36.896
29.842,36.882
29.807,36.846
29.832,36.836
29.738,36.884
29.735,36.841
29.741,36.825
29.736,36.809
29.69,36.848
29.709,36.826
29.738,36.847
29.785,36.832
29.805,36.828
29.797,36.826
29.845,36.842
29.852,36.832
29.863,36.794
29.851,36.762
29.848,36.802
29.815,36.831
29.82,36.872
29.835,36.883
29.835,36.883
29.835,36.883
29.835,36.883
29.835,36.883
29.77,36.856
29.741,36.876
29.849,36.862
29.85,36.831
29.858,36.844
29.883,36.82
29.894,36.814
29.921,36.87
29.884,36.873
29.83,36.853
29.845,36.853
29.827,36.844
29.823,36.86
29.841,36.869
29.782,36.847
29.805,36.853
29.841,36.906
29.795,36.841
29.738,36.877
29.751,36.856
29.68,36.891
29.658,36.868
29.678,36.921
29.931,36.9
29.946,36.88
29.924,36.921
29.977,36.911
29.807,36.961
29.833,36.916
29.818,36.892
29.716,36.887
29.724,36.851
29.764,36.917
29.822,36.914
29.767,36.894
29.699,36.905
29.69,36.933
29.689,36.904
29.634,36.898
29.65,36.92
29.71,36.837
29.72,36.889
29.685,36.91
29.762,36.899
29.685,36.858
29.781,36.932
29.718,36.884
29.729,36.897
29.648,36.904
29.641,36.841
29.545,36.824
29.603,36.836
29.756,36.845
29.818,36.879
29.803,36.849
29.758,36.901
29.822,36.909
29.842,36.893
29.751,36.916
29.832,36.893
29.883,36.926
29.893,36.876
29.771,36.899
29.817,36.859
29.817,36.846
29.841,36.876
29.842,36.873
29.847,36.875
29.664,36.888
29.766,36.868
29.857,36.958
29.882,36.898
29.883,36.888
29.842,36.859
29.817,36.877
29.812,36.889
29.782,36.858
29.781,36.855
29.777,36.85
29.725,36.839
29.804,36.82
29.802,36.821
29.879,36.832
29.896,36.831
29.901,36.898
29.849,36.864
29.929,36.844
29.95,36.872
29.871,36.866
29.886,36.83
