Min,Max
28.498,36.752
28.684,36.588
28.592,36.546
28.638,36.533
28.588,36.528
28.549,36.496
28.757,36.505
28.899,36.525
28.834,36.542
28.884,36.543
28.987,36.554
28.974,36.534
28.989,36.475
29.022,36.484
29.162,36.546
29.178,36.558
29.206,36.594
29.141,36.531
29.106,36.504
29.226,36.539
29.322,36.523
29.374,36.555
29.369,36.507
29.331,36.486
29.395,36.466
29.416,36.472
29.42,36.458
29.417,36.484
29.402,36.506
29.416,36.474
29.43,36.496
29.419,36.458
29.428,36.505
29.453,36.486
29.442,36.484
29.452,36.481
29.484,36.526
29.454,36.495
29.431,36.516
29.472,36.497
29.488,36.522
29.488,36.522
29.488,36.522
29.488,36.522
29.488,36.522
29.522,36.471
29.505,36.482
29.527,36.498
29.517,36.5
29.517,36.503
29.516,36.496
29.522,36.524
29.517,36.556
29.586,36.593
29.638,36.628
29.624,36.608
29.623,36.634
29.653,36.617
29.653,36.62
29.61,36.636
29.626,36.597
29.628,36.579
29.596,36.581
29.577,36.613
29.62,36.636
29.579,36.557
29.607,36.573
29.63,36.574
29.589,36.578
29.629,36.59
29.573,36.606
29.537,36.584
29.551,36.558
29.55,36.471
29.571,36.648
29.533,36.553
29.485,36.493
29.543,36.495
29.608,36.547
29.581,36.558
29.557,36.569
29.569,36.589
29.569,36.569
29.543,36.575
29.545,36.545
29.568,36.545
29.577,36.542
29.582,36.549
29.57,36.555
29.599,36.585
29.618,36.593
29.653,36.587
29.635,36.591
29.633,36.591
29.632,36.611
29.569,36.512
29.558,36.515
29.553,36.504
29.555,36.507
29.513,36.487
29.496,36.504
29.539,36.491
29.588,36.509
29.589,36.602
29.62,36.556
29.592,36.552
29.574,36.566
29.616,36.56
29.615,36.577
29.631,36.547
29.628,36.572
29.616,36.583
29.63,36.557
29.579,36.56
29.583,36.571
29.604,36.592
29.608,36.621
29.603,36.608
29.616,36.609
29.58,36.553
29.566,36.545
29.537,36.52
29.531,36.482
29.563,36.515
29.581,36.5
29.565,36.5
29.567,36.529
29.579,36.552
29.593,36.504
29.595,36.497
29.57,36.494
29.516,36.474
29.529,36.517
29.533,36.491
29.539,36.549
