Min,Max
29.42,35.902
29.471,35.932
29.457,35.984
29.468,36.005
29.466,36.037
29.434,35.942
29.444,35.943
29.424,35.957
29.416,35.942
29.425,35.963
29.444,36.005
29.434,36.015
29.426,36.008
29.46,35.995
29.453,35.977
29.42,35.999
29.427,35.96
29.396,35.958
29.389,35.953
29.421,35.938
29.41,35.895
29.386,35.928
29.427,35.93
29.429,35.946
29.45,35.963
29.454,36.002
29.45,36.02
29.449,36.002
29.442,36.086
29.445,36.043
29.451,36.053
29.446,36.051
29.422,36.014
29.386,36.012
29.407,35.995
29.42,36.012
29.406,36.033
29.4,36.018
29.41,36.021
29.379,35.992
29.399,36.082
29.442,36.064
29.413,36.042
29.41,36.023
29.418,36.044
29.404,36.019
29.421,36.033
29.397,36.012
29.392,35.991
29.366,35.942
29.351,35.979
29.366,35.987
29.423,35.989
29.412,35.983
29.403,35.999
29.376,35.969
29.375,35.959
29.363,35.977
29.328,35.939
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.325,35.943
29.665,36.151
29.65,36.129
29.621,36.099
29.614,36.095
29.626,36.093
29.599,36.067
29.59,36.063
29.622,36.111
29.724,36.232
29.766,36.239
29.746,36.225
29.749,36.199
29.762,36.228
29.747,36.251
29.783,36.278
29.797,36.288
29.777,36.269
29.796,36.271
29.752,36.23
29.744,36.238
29.771,36.272
29.762,36.307
29.74,36.252
29.748,36.252
29.755,36.265
29.773,36.31
29.755,36.307
29.78,36.314
29.774,36.281
29.758,36.269
29.717,36.239
29.718,36.278
29.753,36.317
29.746,36.286
29.787,36.291
29.761,36.313
29.763,36.311
29.78,36.334
29.801,36.335
29.801,36.335
29.761,36.327
29.753,36.282
29.775,36.306
29.711,36.27
29.723,36.281
29.735,36.276
29.725,36.272
29.71,36.258
29.741,36.271
29.75,36.295
29.747,36.345
29.77,36.355
29.77,36.319
29.709,36.297
29.703,36.29
29.702,36.264
29.679,36.269
29.674,36.256
29.66,36.201
29.659,36.23
29.646,36.211
29.669,36.233
29.69,36.287
29.681,36.279
29.672,36.269
29.669,36.265
29.644,36.258
29.72,36.294
29.767,36.369
29.755,36.39
29.756,36.36
29.729,36.346
29.713,36.336
29.683,36.308
29.678,36.285
29.686,36.338
29.701,36.357
29.714,36.364
29.71,36.329
29.68,36.321
29.708,36.355
29.681,36.374
29.734,36.36
29.711,36.371
29.702,36.352
29.716,36.329
29.712,36.36
29.727,36.336
29.708,36.336
29.685,36.316
29.665,36.325
29.674,36.302
29.715,36.367
29.701,36.388
29.668,36.373
29.705,36.391
29.694,36.392
29.673,36.359
29.703,36.41
29.715,36.39
29.685,36.358
29.651,36.361
29.675,36.358
29.715,36.376
29.721,36.363
29.719,36.382
29.691,36.408
29.695,36.381
29.686,36.371
29.69,36.381
29.718,36.387
29.723,36.383
29.723,36.383
29.723,36.383
29.723,36.383
29.723,36.383
29.664,36.213
29.663,36.195
29.662,36.189
29.641,36.202
29.655,36.169
29.665,36.184
29.688,36.185
29.675,36.197
29.708,36.282
29.733,36.335
29.712,36.323
29.701,36.296
29.693,36.258
29.751,36.31
29.746,36.336
29.761,36.369
29.757,36.317
29.776,36.323
29.738,36.306
29.709,36.287
29.726,36.286
29.721,36.328
29.722,36.303
29.724,36.31
29.7,36.293
29.692,36.278
29.705,36.358
29.675,36.299
29.681,36.294
29.626,36.296
29.635,36.284
29.669,36.267
29.669,36.276
29.659,36.291
29.645,36.266
29.625,36.274
29.649,36.247
29.647,36.254
29.634,36.274
29.605,36.257
29.616,36.261
29.641,36.26
29.635,36.264
29.616,36.248
29.654,36.291
29.623,36.274
29.619,36.275
29.63,36.251
29.633,36.291
29.605,36.248
29.587,36.3
29.578,36.256
29.571,36.256
29.594,36.267
29.573,36.288
29.59,36.266
29.563,36.249
29.579,36.234
29.573,36.276
29.583,36.273
29.578,36.26
29.562,36.213
29.523,36.223
29.542,36.22
29.522,36.219
29.533,36.229
29.522,36.223
29.512,36.189
29.532,36.199
29.515,36.235
29.508,36.204
29.496,36.188
29.522,36.192
29.519,36.167
29.555,36.219
29.534,36.23
29.497,36.216
29.507,36.214
29.547,36.238
29.519,36.216
29.58,36.282
29.583,36.322
29.542,36.278
29.542,36.264
29.562,36.268
29.553,36.261
29.56,36.321
29.543,36.268
29.529,36.258
29.521,36.256
29.498,36.244
29.501,36.226
29.458,36.194
29.465,36.195
29.458,36.188
29.493,36.175
29.468,36.186
29.459,36.234
29.457,36.181
29.449,36.212
29.473,36.214
29.437,36.248
29.461,36.249
29.439,36.176
29.471,36.2
29.428,36.173
29.459,36.175
29.461,36.182
29.461,36.2
29.468,36.191
29.471,36.211
29.455,36.204
29.455,36.204
29.455,36.204
29.455,36.204
29.455,36.204
29.593,36.229
29.608,36.193
29.603,36.242
29.619,36.221
29.613,36.204
29.599,36.18
29.608,36.179
29.579,36.167
29.676,36.238
29.664,36.296
29.657,36.283
29.661,36.281
29.639,36.258
29.634,36.29
29.65,36.284
29.619,36.306
29.651,36.355
29.627,36.358
29.661,36.299
29.637,36.272
29.664,36.304
29.7,36.366
29.69,36.375
29.64,36.351
29.654,36.286
29.614,36.301
29.595,36.325
29.649,36.359
29.652,36.33
29.657,36.331
29.64,36.306
29.644,36.301
29.637,36.37
29.66,36.377
29.641,36.355
29.674,36.372
29.663,36.388
29.634,36.336
29.657,36.339
29.616,36.356
29.631,36.301
29.631,36.327
29.606,36.302
29.588,36.25
29.592,36.336
29.593,36.306
29.584,36.269
29.578,36.25
29.578,36.248
29.552,36.241
29.534,36.28
29.541,36.265
29.548,36.274
29.532,36.26
29.515,36.242
29.506,36.335
29.542,36.267
29.532,36.263
29.522,36.229
29.511,36.234
29.5,36.205
29.527,36.252
29.558,36.263
29.559,36.242
29.559,36.271
29.503,36.206
29.534,36.214
29.507,36.192
29.514,36.27
29.535,36.333
29.538,36.26
29.518,36.272
29.497,36.245
29.507,36.278
29.489,36.241
29.463,36.244
29.471,36.247
29.458,36.322
29.446,36.292
29.447,36.243
29.466,36.288
29.492,36.276
29.452,36.246
29.485,36.267
29.466,36.228
29.418,36.215
29.458,36.238
29.466,36.259
29.445,36.295
29.468,36.276
29.444,36.274
29.404,36.275
29.457,36.3
29.452,36.288
29.416,36.279
29.407,36.252
29.443,36.294
29.438,36.312
29.436,36.289
29.466,36.292
29.408,36.241
29.407,36.269
29.415,36.236
29.406,36.234
29.41,36.303
29.407,36.242
29.4,36.228
29.343,36.26
29.371,36.239
29.358,36.204
29.402,36.288
29.404,36.357
29.401,36.305
29.404,36.264
29.379,36.273
29.421,36.289
29.415,36.31
29.417,36.328
29.417,36.328
29.417,36.328
29.417,36.328
29.417,36.328
29.619,36.278
29.606,36.249
29.601,36.231
29.58,36.223
29.549,36.184
29.578,36.252
29.548,36.186
29.542,36.206
29.578,36.248
29.583,36.321
29.576,36.274
29.56,36.271
29.534,36.223
29.538,36.26
29.536,36.295
29.563,36.333
29.569,36.262
29.552,36.208
29.518,36.177
29.472,36.177
29.447,36.157
29.45,36.135
29.451,36.176
29.459,36.147
29.427,36.114
29.408,36.138
29.471,36.165
29.476,36.203
29.486,36.251
29.481,36.229
29.47,36.168
29.455,36.226
29.471,36.195
29.451,36.139
29.476,36.201
29.491,36.218
29.476,36.19
29.473,36.147
29.535,36.313
29.522,36.282
29.508,36.281
29.493,36.267
29.497,36.261
29.508,36.281
29.498,36.24
29.495,36.233
29.481,36.242
29.477,36.229
29.459,36.173
29.488,36.193
29.471,36.28
29.451,36.216
29.437,36.211
29.444,36.185
29.433,36.242
29.476,36.167
29.486,36.194
29.438,36.231
29.442,36.217
29.44,36.21
29.445,36.228
29.429,36.215
29.499,36.267
29.506,36.272
29.486,36.265
29.494,36.252
29.488,36.307
29.472,36.299
29.447,36.288
29.467,36.203
29.429,36.273
29.435,36.22
29.44,36.225
29.446,36.198
29.397,36.176
29.397,36.172
29.397,36.215
29.435,36.198
29.425,36.24
29.399,36.212
29.415,36.206
29.416,36.241
29.419,36.214
29.396,36.25
29.383,36.21
29.395,36.235
29.401,36.21
29.408,36.23
29.419,36.257
29.44,36.244
29.407,36.235
29.403,36.188
29.428,36.23
29.415,36.249
29.435,36.202
29.419,36.232
29.42,36.304
29.408,36.254
29.402,36.256
29.379,36.319
29.386,36.264
29.415,36.27
29.359,36.223
29.353,36.196
29.384,36.263
29.379,36.237
29.384,36.256
29.398,36.267
29.39,36.216
29.395,36.304
29.402,36.304
29.387,36.308
29.387,36.308
29.387,36.308
29.387,36.308
29.632,36.339
29.625,36.337
29.634,36.322
29.586,36.288
29.608,36.312
29.574,36.279
29.598,36.243
29.567,36.23
29.65,36.332
29.631,36.294
29.669,36.301
29.67,36.286
29.66,36.305
29.671,36.305
29.645,36.328
29.649,36.325
29.645,36.352
29.652,36.333
29.652,36.326
29.613,36.305
29.64,36.311
29.632,36.327
29.649,36.372
29.642,36.291
29.614,36.323
29.651,36.274
29.662,36.308
29.66,36.334
29.667,36.362
29.648,36.335
29.635,36.337
29.604,36.295
29.598,36.267
29.575,36.291
29.568,36.263
29.591,36.27
29.588,36.278
29.572,36.286
29.599,36.328
29.611,36.349
29.639,36.374
29.637,36.353
29.616,36.299
29.612,36.315
29.621,36.322
29.647,36.357
29.641,36.333
29.615,36.312
29.613,36.276
29.613,36.339
29.644,36.336
29.674,36.363
29.68,36.348
29.674,36.35
29.649,36.336
29.612,36.302
29.611,36.357
29.572,36.299
29.585,36.289
29.598,36.309
29.557,36.256
29.57,36.27
29.589,36.272
29.57,36.275
29.588,36.281
29.583,36.301
29.573,36.289
29.567,36.309
29.562,36.284
29.562,36.27
29.587,36.284
29.564,36.28
29.547,36.306
29.54,36.256
29.558,36.276
29.583,36.318
29.547,36.3
29.573,36.31
29.557,36.279
29.553,36.26
29.569,36.267
29.578,36.254
29.552,36.269
29.5,36.333
29.522,36.271
29.496,36.302
29.534,36.338
29.547,36.297
29.565,36.328
29.56,36.325
29.586,36.303
29.588,36.337
29.528,36.283
29.583,36.306
29.567,36.32
29.578,36.273
29.569,36.315
29.578,36.303
29.626,36.329
29.644,36.371
29.616,36.37
29.601,36.337
29.61,36.302
29.573,36.328
29.582,36.366
29.587,36.343
29.595,36.326
29.573,36.365
29.599,36.365
29.589,36.359
29.584,36.31
29.562,36.342
29.583,36.307
29.574,36.34
29.561,36.324
29.569,36.276
29.581,36.359
29.528,36.295
29.542,36.329
29.558,36.27
29.542,36.295
29.539,36.295
29.581,36.434
