Min,Max
28.872,35.526
29.011,35.409
29.994,35.377
30.089,35.334
28.663,35.315
28.84,35.312
28.894,35.36
28.761,35.396
28.767,35.408
28.87,35.382
28.786,35.385
28.775,35.341
28.771,35.355
28.777,35.318
28.764,35.307
28.7,35.277
29.045,35.288
28.69,35.304
28.699,35.315
29.673,35.322
30.08,35.31
30.259,35.317
29.38,35.336
29.036,35.345
29.117,35.367
28.919,35.366
29.062,35.379
29.033,35.424
29.007,35.385
29.018,35.4
28.861,35.328
28.908,35.358
28.935,35.365
28.935,35.412
29.298,35.426
29.031,35.405
29.01,35.384
29.01,35.363
28.802,35.348
29.133,35.342
29.127,35.362
29.133,35.378
29.159,35.355
29.029,35.369
29.391,35.337
29.11,35.337
28.872,35.349
28.73,35.336
29.278,35.322
29.51,35.364
30.152,35.355
30.126,35.367
29.312,35.384
29.293,35.347
29.356,35.339
29.375,35.322
29.404,35.26
28.777,35.3
29.015,35.296
29.943,35.316
30.206,35.312
30.126,35.315
29.873,35.326
30.025,35.338
28.716,35.293
28.64,35.305
28.989,35.291
29.14,35.289
29.17,35.263
29.232,35.245
28.88,35.232
29.16,35.223
29.114,35.282
29.191,35.252
29.018,35.276
28.992,35.277
29.62,35.276
29.238,35.29
29.86,35.288
30.062,35.3
30.187,35.315
30.164,35.292
30.237,35.324
30.193,35.308
29.957,35.337
28.932,35.343
29.204,35.354
28.911,35.308
29.075,35.333
29.119,35.31
29.451,35.34
29.427,35.343
29.653,35.326
29.021,35.334
29.168,35.301
29.201,35.305
29.667,35.323
29.657,35.305
30.081,35.297
30.189,35.288
30.201,35.28
30.213,35.291
30.229,35.299
30.235,35.314
30.238,35.33
30.227,35.317
30.176,35.31
30.218,35.327
30.251,35.327
30.17,35.258
30.144,35.263
30.15,35.227
30.16,35.238
30.163,35.286
30.185,35.265
30.209,35.285
30.246,35.3
30.213,35.298
30.204,35.305
30.212,35.28
30.212,35.3
30.162,35.258
30.167,35.255
30.185,35.276
30.188,35.288
30.183,35.255
30.183,35.251
30.128,35.222
30.122,35.226
30.109,35.243
30.14,35.22
30.124,35.237
30.097,35.258
30.158,35.253
30.169,35.291
30.178,35.352
30.187,35.313
30.194,35.315
30.2,35.292
30.229,35.297
30.238,35.312
30.229,35.33
30.218,35.307
30.244,35.355
30.273,35.326
30.251,35.303
30.219,35.305
30.154,35.274
30.219,35.31
30.183,35.3
30.198,35.294
30.215,35.275
30.187,35.254
30.15,35.24
30.188,35.291
30.167,35.292
30.216,35.29
30.234,35.332
30.24,35.329
30.249,35.334
30.237,35.322
30.22,35.333
30.199,35.331
30.133,35.282
30.17,35.31
30.163,35.287
30.153,35.304
30.147,35.283
30.205,35.317
30.32,35.409
30.299,35.383
30.284,35.38
30.314,35.407
30.31,35.369
30.246,35.341
30.232,35.326
30.231,35.301
30.222,35.321
30.19,35.328
30.176,35.317
30.194,35.308
30.199,35.329
30.206,35.341
30.241,35.34
30.202,35.338
30.233,35.351
30.221,35.321
30.182,35.302
30.186,35.28
