Min,Max
28.575,36.085
28.601,36.132
28.615,36.141
28.632,36.137
28.747,36.201
28.827,36.18
28.842,36.216
28.862,36.18
29.005,36.218
28.988,36.289
29.021,36.263
28.967,36.27
29.064,36.29
29.174,36.273
29.165,36.276
29.164,36.271
29.19,36.293
29.148,36.264
29.128,36.215
29.104,36.23
29.103,36.188
29.095,36.205
29.123,36.25
29.09,36.244
29.088,36.328
29.093,36.237
29.058,36.214
29.103,36.229
29.067,36.199
29.067,36.199
29.067,36.199
29.067,36.199
29.067,36.199
29.454,36.588
29.476,36.559
29.501,36.575
29.466,36.593
29.474,36.614
29.471,36.603
29.455,36.586
29.462,36.573
29.514,36.642
29.5,36.61
29.549,36.676
29.516,36.668
29.476,36.623
29.506,36.595
29.541,36.674
29.57,36.705
29.577,36.696
29.573,36.693
29.573,36.665
29.542,36.667
29.536,36.698
29.537,36.69
29.548,36.713
29.558,36.71
29.567,36.714
29.546,36.708
29.587,36.724
29.583,36.734
29.608,36.728
29.594,36.695
29.557,36.712
29.538,36.704
29.567,36.721
29.547,36.696
29.553,36.681
29.537,36.674
29.542,36.68
29.545,36.679
29.608,36.721
29.568,36.732
29.562,36.729
29.618,36.729
29.596,36.742
29.598,36.712
29.578,36.71
29.542,36.687
29.531,36.713
29.548,36.688
29.531,36.722
29.575,36.689
29.568,36.67
29.557,36.685
29.609,36.745
29.598,36.702
29.567,36.693
29.557,36.718
29.598,36.72
29.59,36.765
29.562,36.733
29.576,36.699
29.511,36.693
29.542,36.712
29.564,36.682
29.558,36.72
29.527,36.673
29.481,36.662
29.491,36.681
29.502,36.695
29.471,36.688
29.501,36.707
29.496,36.668
29.501,36.68
29.496,36.657
29.476,36.667
29.491,36.672
29.486,36.722
29.544,36.709
29.51,36.712
29.491,36.68
29.477,36.662
29.501,36.686
29.478,36.753
29.472,36.741
29.461,36.683
29.435,36.7
29.499,36.736
29.493,36.723
29.468,36.703
29.476,36.724
29.48,36.717
29.458,36.71
29.451,36.776
29.473,36.685
29.465,36.686
29.42,36.659
29.42,36.636
29.429,36.64
29.424,36.658
29.473,36.682
29.421,36.66
29.391,36.623
29.399,36.642
29.363,36.658
29.384,36.685
29.46,36.714
29.509,36.759
29.527,36.77
29.486,36.763
29.498,36.761
29.496,36.702
29.471,36.722
29.491,36.722
29.525,36.74
29.542,36.758
29.527,36.752
29.527,36.749
29.522,36.735
29.437,36.681
29.437,36.681
29.437,36.681
29.437,36.681
29.437,36.681
29.648,36.758
29.64,36.76
29.623,36.766
29.583,36.736
29.598,36.732
29.631,36.706
29.648,36.721
29.594,36.748
29.647,36.779
29.695,36.772
29.669,36.766
29.698,36.756
29.687,36.751
29.659,36.718
29.609,36.693
29.66,36.747
29.693,36.756
29.669,36.723
29.674,36.714
29.669,36.711
29.634,36.661
29.662,36.689
29.637,36.699
29.639,36.671
29.625,36.699
29.613,36.656
29.615,36.661
29.619,36.691
29.635,36.696
29.613,36.691
29.623,36.694
29.658,36.696
29.607,36.689
29.598,36.663
29.598,36.701
29.615,36.679
29.592,36.664
29.548,36.692
29.575,36.635
29.564,36.649
29.592,36.67
29.63,36.676
29.612,36.649
29.594,36.64
29.676,36.67
29.685,36.722
29.677,36.68
29.664,36.713
29.646,36.716
29.671,36.729
29.674,36.79
29.692,36.743
29.662,36.717
29.65,36.723
29.63,36.708
29.636,36.728
29.633,36.732
29.641,36.694
29.63,36.698
29.66,36.716
29.642,36.717
29.601,36.711
29.628,36.697
29.634,36.728
29.63,36.693
29.573,36.661
29.552,36.634
29.542,36.649
29.58,36.64
29.542,36.651
