Min,Max
27.407,35.012
27.431,34.969
27.391,34.972
27.422,34.976
27.419,34.99
27.418,35.035
27.394,34.954
27.381,34.998
27.431,35.029
27.409,35.024
27.442,35.081
27.417,35.055
27.412,35.037
27.333,34.923
27.306,34.907
27.299,34.943
27.282,34.93
27.313,34.915
27.269,34.93
27.338,34.983
27.352,34.937
27.355,35.005
27.346,34.922
27.36,34.962
27.356,34.979
27.315,35.01
27.347,34.962
27.319,34.938
27.339,34.945
27.352,34.953
27.314,34.992
27.359,34.974
27.35,34.988
27.35,34.988
27.35,34.988
27.35,34.988
27.35,34.988
27.472,35.026
27.495,35.065
27.477,35.058
27.472,35.05
27.475,35.04
27.483,35.041
27.483,35.095
27.465,35.05
27.482,35.054
27.485,35.063
27.495,35.037
27.48,35.02
27.456,35.048
27.494,35.074
27.412,34.979
27.401,34.936
27.394,35.029
27.407,35.034
27.438,35.037
27.424,35.066
27.424,35.05
27.43,34.953
27.438,34.97
27.442,35.022
27.444,35.006
27.454,35.047
27.466,35.067
27.461,35.065
27.475,35.044
27.481,35.035
27.474,35.006
27.486,35.036
27.491,35.048
27.496,35.036
27.483,35.048
27.486,35.042
27.488,35.069
27.479,34.995
27.41,34.988
27.399,35.006
27.406,35.03
27.426,35.001
27.406,34.976
27.407,34.982
27.412,35.016
27.397,34.953
27.407,34.992
27.427,35.021
27.42,34.99
27.406,34.959
27.39,34.924
27.402,35.043
27.381,34.971
27.407,34.993
27.415,35.008
27.415,35.035
27.434,35.014
27.473,35.002
27.433,35.048
27.447,35.039
27.458,34.985
27.455,34.998
27.413,34.991
27.428,35.007
27.427,35.037
27.453,35.047
27.443,35.016
27.417,34.975
27.426,34.989
27.449,35.006
27.437,34.986
27.416,34.968
27.441,34.972
27.423,34.999
27.404,34.974
27.412,34.959
27.416,34.974
27.433,34.989
27.433,34.978
27.438,34.996
27.428,34.998
27.411,34.955
27.422,35.001
27.403,35.036
27.418,34.988
27.399,34.997
27.414,34.986
27.426,35.009
27.447,35.002
27.444,35.037
27.427,35.025
27.419,35.004
27.413,34.976
27.433,35.018
27.432,35.016
27.416,34.959
27.441,34.989
27.462,35.021
27.445,34.995
27.396,34.987
27.357,34.936
27.39,34.997
27.408,34.962
27.421,35.003
27.422,34.998
27.394,35.004
27.412,34.976
27.433,35.001
27.45,35.024
27.434,34.997
27.439,35.009
27.429,34.993
27.442,34.951
27.422,34.973
27.459,35.03
27.469,35.049
27.453,35.014
27.461,35.033
27.438,35.067
27.434,35.003
27.428,34.997
27.438,34.985
27.42,34.999
27.436,34.98
27.434,35.042
27.447,35.021
27.437,35.008
27.43,35.025
27.442,34.994
27.416,34.984
27.427,34.993
27.462,35.009
27.442,35.025
27.437,35.028
27.422,35.02
27.421,34.99
27.402,34.938
27.422,34.974
27.405,34.962
27.439,34.988
27.44,35.006
27.441,35.012
27.46,35.01
27.451,35.025
27.474,35.055
27.473,35.059
27.434,35.07
27.407,34.991
27.398,35.002
27.387,34.971
27.397,34.921
27.406,34.949
27.437,35.024
27.465,35.018
27.472,35.063
27.459,35.002
27.48,35.02
27.476,35.008
27.4,34.982
27.399,34.992
27.407,34.995
27.416,35.007
27.396,34.978
27.405,35.017
27.393,34.967
27.382,34.959
27.378,34.985
27.373,35.017
27.396,34.99
27.395,34.963
27.34,34.946
27.344,34.966
27.359,34.949
27.371,34.93
27.352,34.926
27.353,34.964
27.399,34.963
27.436,35.023
27.407,34.994
27.429,34.96
27.399,34.939
27.396,34.96
27.384,34.948
27.396,34.942
27.391,34.96
27.376,34.978
27.414,34.979
27.435,35.03
27.411,35.021
27.396,34.975
27.387,34.979
27.405,34.991
