Min,Max
28.842,34.949
28.837,34.933
28.826,34.931
28.85,34.907
28.843,34.945
28.789,34.851
28.79,34.879
28.775,34.83
28.779,34.831
28.881,34.943
28.891,34.938
28.849,34.966
28.907,34.968
28.844,34.938
28.851,34.926
28.829,34.921
28.92,34.982
28.896,34.973
28.894,34.938
28.846,34.966
28.832,34.938
28.828,34.979
28.787,34.951
28.763,34.951
28.821,34.932
28.784,34.921
28.741,34.898
28.648,34.856
28.729,34.896
28.736,34.885
28.78,34.89
28.709,34.891
28.664,34.884
28.696,34.859
28.689,34.85
28.697,34.869
28.735,34.865
28.631,34.866
28.643,34.894
28.611,34.841
28.638,34.852
28.698,34.861
28.675,34.855
28.683,34.877
28.705,34.872
28.697,34.881
28.695,34.885
28.698,34.903
28.676,34.881
28.694,34.893
28.611,34.883
28.596,34.852
28.637,34.86
28.636,34.849
28.642,34.84
28.605,34.785
28.609,34.792
28.618,34.798
28.624,34.821
28.661,34.81
28.608,34.8
28.637,34.778
28.615,34.764
28.659,34.757
28.606,34.775
28.635,34.784
28.585,34.77
28.586,34.771
28.541,34.764
28.529,34.769
28.518,34.779
28.56,34.792
28.567,34.784
28.576,34.773
28.55,34.756
28.546,34.758
28.563,34.802
28.556,34.791
28.58,34.797
28.609,34.805
28.548,34.765
28.554,34.767
28.555,34.759
28.492,34.765
28.468,34.744
28.468,34.692
28.354,34.697
28.446,34.713
28.46,34.719
28.448,34.679
28.339,34.662
28.361,34.769
28.434,34.698
28.341,34.677
28.424,34.714
28.435,34.723
28.382,34.718
28.404,34.703
28.416,34.741
28.412,34.714
28.461,34.769
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.484,34.788
28.772,35.089
28.792,35.094
28.789,35.108
28.753,35.092
28.762,35.098
28.765,35.11
28.744,35.099
28.758,35.132
28.863,35.178
28.845,35.172
28.849,35.15
28.829,35.136
28.803,35.109
28.792,35.117
28.762,35.088
28.76,35.109
28.747,35.09
28.763,35.082
28.769,35.091
28.718,35.083
28.767,35.103
28.727,35.085
28.73,35.104
28.734,35.106
28.714,35.062
28.808,35.142
28.818,35.151
28.85,35.194
28.826,35.133
28.806,35.129
28.811,35.117
28.838,35.102
28.79,35.106
28.783,35.084
28.767,35.07
28.748,35.077
28.729,35.086
28.747,35.107
28.759,35.072
28.775,35.1
28.719,35.069
28.748,35.091
28.75,35.083
28.714,35.083
28.723,35.079
28.674,35.065
28.66,35.06
28.641,35.031
28.694,35.059
28.679,35.034
28.688,35.018
28.709,35.027
28.707,35.02
28.652,35.013
28.637,34.965
28.674,35.006
28.742,35.048
