Min,Max
27.589,34.861
27.665,34.802
27.715,34.802
27.682,34.825
27.687,34.829
27.696,34.809
27.679,34.816
27.663,34.812
27.635,34.791
27.602,34.774
27.64,34.832
27.687,34.831
27.67,34.86
27.671,34.892
27.645,34.824
27.665,34.85
27.648,34.858
27.608,34.833
27.635,34.826
27.669,34.824
27.661,34.813
27.622,34.827
27.676,34.836
27.693,34.832
27.732,34.838
27.681,34.836
27.654,34.816
27.653,34.822
27.677,34.852
27.755,34.885
27.728,34.852
27.695,34.836
27.714,34.86
27.697,34.831
27.686,34.81
27.691,34.823
27.686,34.837
27.669,34.843
27.648,34.843
27.646,34.88
27.642,34.863
27.684,34.824
27.641,34.777
27.706,34.823
27.699,34.871
27.646,34.815
27.655,34.835
27.697,34.845
27.716,34.913
27.719,34.86
27.679,34.888
27.701,34.875
27.69,34.837
27.721,34.844
27.695,34.855
27.714,34.868
27.682,34.842
27.723,34.842
27.701,34.867
27.702,34.908
27.715,34.863
27.729,34.902
27.712,34.904
27.691,34.882
27.708,34.867
27.721,34.888
27.687,34.871
27.662,34.832
27.628,34.828
27.637,34.829
27.684,34.909
27.726,34.92
27.741,34.893
27.742,34.915
27.725,34.879
27.722,34.884
27.71,34.887
27.685,34.861
27.688,34.846
27.647,34.847
27.673,34.866
27.665,34.853
27.664,34.874
27.735,34.906
27.735,34.873
27.693,34.874
27.705,34.899
27.698,34.874
27.656,34.862
27.642,34.861
27.644,34.856
27.625,34.881
27.598,34.811
27.592,34.827
27.593,34.805
27.526,34.73
27.491,34.709
27.544,34.735
27.53,34.785
27.533,34.738
27.528,34.753
27.573,34.752
27.584,34.777
27.578,34.776
27.588,34.786
27.557,34.78
27.547,34.759
27.545,34.757
27.515,34.762
27.51,34.739
27.468,34.744
27.48,34.711
27.458,34.677
27.529,34.784
27.544,34.772
27.536,34.773
27.531,34.771
27.511,34.773
27.549,34.784
27.526,34.803
27.552,34.796
27.498,34.754
27.524,34.759
27.532,34.795
27.514,34.757
27.644,34.852
27.648,34.857
27.6,34.845
27.622,34.872
27.632,34.852
27.605,34.808
27.599,34.835
27.602,34.843
27.595,34.848
27.589,34.835
27.603,34.826
27.578,34.825
27.642,34.858
27.65,34.861
27.65,34.861
27.65,34.861
27.65,34.861
27.65,34.861
27.679,34.939
27.65,34.894
27.638,34.895
27.637,34.896
27.611,34.929
27.612,34.89
27.599,34.886
27.603,34.883
27.665,34.943
27.739,34.963
27.687,34.974
27.68,34.921
27.662,34.948
27.655,34.934
27.702,34.953
27.707,34.939
27.702,34.994
27.679,34.918
27.692,34.933
27.689,34.945
27.655,34.9
27.641,34.896
27.634,34.938
27.635,34.891
27.611,34.893
27.598,34.891
27.644,34.906
27.653,34.925
27.678,34.971
27.661,34.929
27.655,34.916
27.651,34.938
27.704,35.003
27.703,34.985
27.695,34.957
27.665,34.94
27.687,34.983
27.677,34.959
27.684,34.952
27.715,34.963
27.673,34.923
27.672,34.966
27.686,34.942
27.684,34.954
27.715,34.988
27.725,34.992
27.681,34.957
