Min,Max
28.523,35.806
28.583,35.822
28.575,35.781
28.585,35.789
28.559,35.819
28.65,35.88
28.64,35.928
28.638,35.91
28.642,35.963
28.64,35.956
28.621,35.876
28.6,35.899
28.585,35.877
28.622,35.835
28.582,35.858
28.548,35.843
28.541,35.795
28.6,35.803
28.624,35.841
28.617,35.89
28.6,35.931
28.6,35.859
28.594,35.861
28.612,35.892
28.593,35.867
28.586,35.899
28.621,35.926
28.608,35.93
28.655,35.956
28.634,35.941
28.625,35.96
28.624,35.959
28.63,35.975
28.628,35.947
28.606,35.902
28.711,35.965
28.724,36.015
28.654,35.999
28.657,35.914
28.68,35.971
28.665,35.95
28.64,35.916
28.679,35.91
28.673,35.938
28.641,35.965
28.598,35.953
28.641,35.99
28.623,35.947
28.599,35.984
28.59,35.972
28.617,35.981
28.611,35.991
28.626,36.01
28.62,36.008
28.642,36.004
28.686,36.005
28.657,36.042
28.681,35.975
28.59,36.003
28.712,36.104
28.713,36.026
28.713,36.026
28.713,36.026
28.713,36.026
28.713,36.026
28.732,36.086
28.77,36.086
28.752,36.06
28.76,36.078
28.76,36.055
28.735,36.038
28.744,36.035
28.811,36.064
28.765,36.069
28.754,36.055
28.78,36.015
28.716,35.997
28.77,36.014
28.76,36.059
28.74,36.008
28.681,35.958
28.655,36.005
28.709,36.037
28.685,36.002
28.683,36.031
28.743,36.074
28.712,36.064
28.699,36.045
28.668,36.015
28.662,36.017
28.672,36.013
28.741,36.132
28.768,36.135
28.78,36.109
28.786,36.138
28.766,36.119
28.758,36.117
28.78,36.158
28.772,36.085
28.772,36.099
28.714,36.081
28.749,36.058
28.746,36.07
28.652,36.028
28.683,35.995
28.624,36.055
28.621,36.021
28.636,36.063
28.65,36.115
28.623,36.172
28.651,36.051
28.662,36.111
28.659,36.118
28.682,36.102
28.637,36.045
28.688,36.046
28.645,36.016
28.654,36.066
28.663,36.023
28.672,36.051
28.62,36.019
28.578,36.001
28.595,36.011
28.587,35.938
28.556,35.904
28.523,35.893
28.553,35.925
28.611,36.05
28.624,36.018
28.574,35.998
28.592,36.042
28.614,36.039
28.6,36.038
28.59,35.996
28.611,36.019
28.581,36.037
28.578,35.981
28.579,35.96
28.576,35.988
28.593,36.005
28.638,35.993
28.626,36.038
28.641,36.019
28.625,35.967
28.636,36.001
28.561,35.968
28.572,36.004
28.609,36.041
28.598,36.021
28.611,36.039
28.625,36.064
28.668,36.059
28.675,36.084
28.673,36.098
28.685,36.069
28.683,36.08
28.681,36.073
28.677,36.006
28.672,36.032
28.662,36.02
28.664,36.038
28.677,36.047
28.666,36.039
28.683,36.028
28.662,36.022
28.663,35.994
28.642,35.999
28.631,36.044
28.616,36.003
28.591,36.074
28.626,36.042
28.647,36.05
28.644,36.054
28.633,36.034
28.654,36.019
28.714,36.082
28.76,36.101
28.729,36.099
28.761,36.057
28.775,36.081
28.742,36.064
28.683,36.073
28.67,36.036
28.701,35.994
28.705,35.997
28.679,35.98
28.676,35.997
28.747,36.065
28.719,36.152
28.757,36.107
28.724,36.054
28.708,36.118
28.717,36.097
28.69,36.091
28.658,36.068
28.668,36.075
28.708,36.047
28.657,36.001
28.643,36.023
28.626,35.985
28.608,35.994
28.616,35.957
28.65,36.045
28.654,35.97
28.639,35.934
28.633,35.97
28.638,35.99
28.619,36.004
28.616,35.959
28.601,35.955
28.596,35.946
28.676,36.042
28.676,36.042
28.676,36.042
28.676,36.042
28.676,36.042
28.642,36.151
28.693,36.169
28.691,36.097
28.693,36.107
28.699,36.069
28.724,36.031
28.688,36.065
28.698,36.033
28.718,36.075
28.711,36.094
28.711,36.073
28.713,36.127
28.685,36.111
28.666,36.056
28.706,36.133
28.719,36.191
28.732,36.151
28.731,36.179
28.721,36.174
28.704,36.142
28.734,36.192
28.762,36.216
28.747,36.178
28.748,36.184
28.742,36.105
28.766,36.152
28.78,36.204
28.785,36.128
28.783,36.097
28.754,36.143
28.719,36.084
28.699,36.089
28.711,36.071
28.658,36.094
28.685,36.041
28.679,36.072
28.665,36.05
28.643,36.062
28.672,36.06
28.644,36.12
28.598,36.085
28.631,36.098
28.662,36.084
28.623,36.101
28.689,36.143
28.751,36.188
28.762,36.207
