Min,Max
30.521,37.124
30.567,37.134
30.556,37.145
30.587,37.139
30.582,37.099
30.568,37.081
30.531,37.098
30.618,37.076
30.62,37.102
30.653,37.114
30.58,37.125
30.567,37.126
30.553,37.112
30.607,37.132
30.565,37.121
30.572,37.157
30.557,37.174
30.551,37.142
30.52,37.121
30.557,37.126
30.585,37.142
30.511,37.106
30.531,37.172
30.531,37.058
30.576,37.22
30.521,37.115
30.54,37.085
30.599,37.089
30.627,37.083
30.435,37.058
30.468,37.074
30.482,37.041
30.52,37.029
30.499,37.06
30.512,37.187
30.545,37.037
30.542,37.002
30.546,37.018
30.504,37.067
30.726,37.048
31.602,37.021
30.62,37.039
30.601,37.084
31.454,37.088
32.328,37.042
31.745,37.082
32.075,37.124
32.348,37.034
32.319,37.079
31.7,37.072
30.912,37.078
30.869,37.116
30.681,37.099
30.52,37.073
30.525,37.077
30.548,37.147
30.565,37.153
30.524,37.115
30.473,37.109
30.452,37.116
30.493,37.117
30.489,37.135
30.598,37.104
30.564,37.11
30.545,37.201
30.509,37.105
30.567,37.139
30.471,37.082
30.561,37.108
30.47,37.079
30.45,37.102
30.456,37.064
30.497,37.054
30.581,37.119
30.582,37.079
30.554,37.095
30.546,37.1
30.514,37.103
30.462,37.034
30.417,37.107
30.492,37.095
30.492,37.095
30.492,37.095
30.492,37.095
30.492,37.095
30.488,37.103
30.457,37.114
30.488,37.103
30.458,37.077
30.451,37.042
30.449,37.058
30.411,37.058
30.486,37.109
30.546,37.084
30.585,37.118
30.661,37.091
30.855,37.101
30.666,37.119
31.939,37.103
32.356,37.097
32.37,37.09
32.35,37.109
32.307,37.08
32.326,37.114
32.35,37.148
32.37,37.14
32.353,37.12
32.343,37.099
31.199,37.096
32.345,37.095
31.34,37.079
32.32,37.079
32.336,37.058
31.243,37.074
30.66,37.092
31.513,37.076
32.367,37.073
32.337,37.098
32.085,37.091
32.343,37.096
32.37,37.106
32.321,37.08
31.658,37.071
31.322,37.069
30.645,37.067
30.647,37.077
30.483,37.059
30.481,37.06
30.457,37.057
30.562,37.055
30.506,37.069
30.492,37.081
30.521,37.11
31.229,37.072
31.082,37.127
30.539,37.072
30.551,37.071
32.146,37.057
30.598,37.089
30.481,37.06
30.481,37.078
30.482,37.064
30.451,37.042
30.433,37.041
30.428,37.053
30.411,37.036
30.465,37.056
30.47,37.088
30.455,37.024
30.531,37.048
30.809,37.072
30.859,37.1
31.961,37.122
32.396,37.124
32.384,37.109
32.366,37.091
32.382,37.11
32.352,37.098
32.368,37.097
32.347,37.074
32.202,37.086
31.377,37.082
31.199,37.067
31.509,37.04
32.097,37.092
31.05,37.082
30.876,37.091
31.857,37.106
31.311,37.097
32.298,37.067
32.332,37.111
32.361,37.203
32.361,37.22
32.361,37.133
32.399,37.138
32.36,37.116
32.181,37.099
32.227,37.102
32.34,37.116
32.233,37.117
30.753,37.093
31.331,37.1
32.034,37.113
31.064,37.147
30.657,37.135
30.93,37.155
31.78,37.149
30.653,37.118
30.552,37.096
30.678,37.187
30.791,37.19
30.633,37.205
30.569,37.161
30.678,37.174
30.611,37.12
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
30.609,37.128
32.35,37.14
32.343,37.113
32.314,37.138
32.325,37.099
