Min,Max
28.867,37.372
28.851,37.328
28.859,37.328
28.899,37.36
28.908,37.367
28.892,37.412
28.912,37.438
28.893,37.39
28.865,37.404
28.873,37.33
28.883,37.42
28.91,37.367
28.847,37.407
28.863,37.314
28.862,37.313
28.851,37.377
28.912,37.345
28.919,37.394
28.864,37.39
28.892,37.416
28.933,37.383
28.911,37.402
28.932,37.423
28.976,37.457
29.0,37.432
28.995,37.462
28.985,37.493
28.941,37.458
28.9,37.362
28.868,37.323
28.896,37.387
28.815,37.286
28.867,37.382
28.862,37.293
28.839,37.343
28.818,37.327
28.79,37.248
28.781,37.225
28.765,37.267
28.792,37.287
28.904,37.387
28.91,37.413
28.909,37.44
28.947,37.396
28.895,37.421
28.899,37.383
28.869,37.398
28.883,37.441
28.872,37.371
28.869,37.336
28.78,37.335
28.822,37.327
28.783,37.281
28.789,37.281
28.776,37.31
28.729,37.228
28.71,37.23
28.733,37.222
28.782,37.267
28.804,37.305
28.816,37.263
28.857,37.3
28.831,37.298
28.792,37.315
28.808,37.321
28.833,37.266
28.838,37.301
28.817,37.292
28.793,37.318
28.827,37.329
28.812,37.305
28.798,37.311
28.832,37.306
28.873,37.301
28.852,37.312
28.832,37.333
28.815,37.296
28.762,37.27
28.76,37.231
28.786,37.258
28.775,37.271
28.741,37.23
28.786,37.219
28.831,37.278
28.821,37.254
28.837,37.285
28.8,37.241
28.809,37.251
28.783,37.257
28.741,37.2
28.745,37.282
28.751,37.22
28.732,37.17
28.762,37.223
28.759,37.21
28.76,37.265
28.735,37.248
28.694,37.188
28.674,37.19
28.725,37.196
28.765,37.237
28.803,37.242
28.802,37.215
28.768,37.23
28.783,37.287
28.782,37.264
28.798,37.307
28.841,37.35
28.861,37.344
28.866,37.351
28.85,37.317
28.846,37.288
28.869,37.334
28.87,37.346
28.876,37.356
28.868,37.349
28.888,37.36
28.871,37.284
28.866,37.273
28.801,37.339
28.852,37.221
28.817,37.251
28.825,37.223
28.825,37.252
28.867,37.295
28.982,37.347
28.939,37.388
28.956,37.375
28.924,37.39
28.901,37.405
28.842,37.271
28.889,37.316
28.873,37.283
28.877,37.285
28.945,37.283
28.942,37.246
28.965,37.34
29.067,37.305
29.352,37.351
29.432,37.33
29.379,37.315
28.975,37.253
29.011,37.274
28.944,37.351
28.926,37.287
28.857,37.295
28.953,37.364
28.979,37.341
29.012,37.348
29.008,37.295
29.172,37.24
29.207,37.246
29.295,37.254
29.786,37.222
30.44,37.34
30.898,37.292
30.736,37.302
29.912,37.31
29.562,37.336
29.446,37.342
29.29,37.301
29.17,37.337
29.174,37.292
29.046,37.293
28.977,37.299
29.161,37.349
29.247,37.275
29.268,37.316
29.238,37.278
29.308,37.309
29.57,37.295
29.75,37.281
29.918,37.275
29.374,37.218
29.333,37.247
29.263,37.307
29.046,37.305
28.918,37.222
28.852,37.276
28.921,37.372
28.94,37.327
28.977,37.308
28.916,37.354
28.969,37.333
28.899,37.283
28.852,37.254
28.977,37.239
29.113,37.261
29.705,37.258
31.021,37.212
31.86,37.3
30.523,37.366
29.381,37.315
28.935,37.312
28.914,37.319
28.87,37.274
28.881,37.358
28.864,37.358
28.862,37.313
28.858,37.331
28.843,37.267
28.771,37.263
28.776,37.28
28.774,37.276
28.779,37.288
28.806,37.252
28.859,37.259
28.813,37.2
28.814,37.319
28.778,37.218
28.757,37.218
28.701,37.22
28.709,37.229
28.694,37.185
28.754,37.272
28.784,37.309
28.83,37.315
28.81,37.301
28.833,37.296
28.762,37.243
28.791,37.262
28.782,37.249
28.763,37.261
28.781,37.202
28.772,37.217
28.766,37.256
28.809,37.308
28.849,37.296
28.855,37.301
28.812,37.313
28.839,37.314
28.825,37.304
28.828,37.327
28.806,37.311
28.775,37.319
28.781,37.3
28.807,37.315
28.829,37.339
28.814,37.318
28.803,37.239
28.801,37.279
28.731,37.196
28.726,37.175
28.68,37.148
28.739,37.216
28.773,37.221
28.729,37.234
28.746,37.233
28.737,37.289
28.763,37.264
28.804,37.245
28.792,37.266
28.776,37.261
28.778,37.267
28.834,37.305
28.745,37.353
28.804,37.236
28.752,37.191
28.715,37.178
28.7,37.166
28.73,37.23
28.729,37.226
28.764,37.214
28.77,37.249
28.722,37.169
28.715,37.19
28.703,37.184
28.726,37.209
28.74,37.207
28.765,37.223
28.756,37.244
28.778,37.247
28.758,37.217
28.791,37.242
28.795,37.252
28.804,37.276
28.814,37.214
28.812,37.259
28.835,37.3
28.773,37.293
28.804,37.282
28.813,37.387
28.809,37.32
28.798,37.271
28.776,37.288
28.76,37.3
28.707,37.208
28.713,37.147
28.696,37.167
28.692,37.155
28.699,37.118
28.739,37.138
28.766,37.158
28.823,37.25
28.76,37.189
28.744,37.192
28.747,37.2
28.712,37.195
28.674,37.152
28.668,37.163
28.695,37.202
28.704,37.18
28.697,37.228
28.695,37.164
28.716,37.265
28.782,37.249
28.815,37.283
28.83,37.251
28.812,37.219
28.866,37.204
28.8,37.212
28.773,37.175
28.751,37.183
28.713,37.151
28.695,37.2
28.706,37.178
28.769,37.277
28.851,37.345
28.824,37.302
28.817,37.277
28.802,37.239
28.807,37.261
28.791,37.304
28.771,37.262
28.785,37.283
28.765,37.234
28.797,37.27
28.785,37.238
28.799,37.363
28.778,37.274
28.78,37.257
28.792,37.246
28.801,37.32
28.796,37.324
28.758,37.249
28.773,37.326
28.73,37.336
28.734,37.232
28.772,37.255
28.718,37.228
28.778,37.36
28.842,37.335
28.857,37.279
28.858,37.267
28.859,37.333
28.861,37.322
28.854,37.31
28.851,37.304
28.831,37.295
28.852,37.287
28.842,37.273
28.824,37.264
28.817,37.307
28.851,37.34
28.815,37.264
28.83,37.346
28.822,37.284
28.825,37.251
28.804,37.253
28.889,37.291
28.873,37.272
28.864,37.265
28.797,37.282
28.812,37.33
28.824,37.31
28.773,37.253
28.657,37.231
28.78,37.234
28.798,37.238
28.774,37.23
28.755,37.261
28.754,37.252
28.787,37.26
28.78,37.249
28.798,37.262
28.721,37.259
28.769,37.177
28.772,37.199
28.826,37.209
28.811,37.209
28.934,37.207
28.84,37.237
28.86,37.259
28.885,37.275
28.989,37.264
29.021,37.201
29.041,37.196
29.029,37.18
28.984,37.142
28.971,37.152
28.968,37.181
28.94,37.157
28.862,37.205
29.027,37.198
29.043,37.164
29.766,37.139
30.183,37.148
30.294,37.134
29.618,37.152
29.114,37.158
29.1,37.231
29.2,37.225
29.064,37.199
29.066,37.195
29.417,37.241
29.658,37.252
29.653,37.197
29.55,37.216
29.49,37.165
29.685,37.197
29.678,37.181
29.99,37.27
30.139,37.228
29.837,37.203
28.945,37.205
28.819,37.246
28.753,37.253
28.751,37.223
28.722,37.205
28.771,37.174
28.776,37.216
28.819,37.269
28.811,37.255
28.821,37.255
28.855,37.29
28.959,37.275
28.997,37.236
29.128,37.314
29.278,37.202
31.386,37.219
31.988,37.236
32.098,37.25
32.03,37.258
31.902,37.199
32.057,37.202
32.061,37.202
32.113,37.276
32.121,37.247
32.148,37.234
32.041,37.242
32.073,37.256
32.089,37.252
32.02,37.235
31.992,37.177
32.005,37.14
31.996,37.204
31.972,37.157
31.982,37.185
31.964,37.162
31.946,37.138
31.936,37.092
31.952,37.162
31.968,37.169
32.0,37.162
31.992,37.194
32.004,37.172
31.968,37.199
31.943,37.165
32.02,37.158
31.971,37.119
31.982,37.148
