Min,Max
32.011,36.895
32.056,36.912
32.224,36.945
32.016,36.895
32.106,36.902
32.082,36.866
32.06,36.892
32.056,36.891
32.133,36.939
32.135,36.934
32.092,36.887
32.026,36.862
32.017,36.853
31.95,36.81
32.063,36.879
32.028,36.863
32.138,36.873
32.113,36.84
32.089,36.782
32.157,36.847
32.276,36.974
32.306,37.01
32.253,36.957
32.359,36.932
32.394,36.884
32.376,36.9
32.424,36.992
32.423,37.0
32.484,36.976
32.404,36.98
32.446,36.987
32.433,36.889
32.524,36.969
32.505,36.999
32.531,36.975
32.555,36.955
32.51,36.943
32.467,36.958
32.527,36.963
32.531,36.925
32.455,36.938
32.471,36.975
32.451,36.98
32.435,36.918
32.542,36.917
32.515,36.924
32.577,36.932
32.548,36.911
32.541,36.849
32.483,36.846
32.743,37.056
32.77,37.08
32.696,37.049
32.727,37.084
32.687,37.017
32.67,37.046
32.761,37.086
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.774,37.096
32.899,36.946
32.939,36.851
32.919,36.902
32.91,36.896
32.916,36.867
32.85,36.831
32.856,36.833
32.848,36.891
32.973,36.976
33.013,36.906
32.947,36.996
32.953,36.926
32.918,36.907
32.923,36.866
33.106,37.017
33.117,37.06
33.093,37.067
33.106,37.042
33.052,37.016
32.996,37.007
33.095,37.03
33.078,37.018
33.077,37.033
32.991,37.025
32.941,37.006
32.906,36.981
32.984,37.078
32.985,37.064
32.887,37.051
32.898,37.038
32.834,37.029
32.798,37.068
32.787,37.103
32.767,37.081
32.743,37.048
32.795,37.009
32.849,37.013
32.872,36.963
32.987,37.109
33.024,37.1
33.017,37.12
33.058,37.103
33.067,37.103
32.971,37.068
33.081,37.131
33.071,37.139
33.052,37.124
33.104,37.147
33.113,37.116
33.142,37.13
33.094,37.058
33.103,37.038
33.137,37.055
33.103,37.034
33.094,36.986
33.088,36.966
33.126,37.068
33.105,37.092
33.09,37.074
33.084,37.084
33.094,37.036
33.12,37.07
33.121,37.127
33.129,37.066
33.102,37.093
33.104,37.085
33.127,37.052
33.091,37.036
33.145,37.136
33.118,37.136
33.123,37.108
33.107,37.064
33.093,37.085
33.065,37.06
33.207,37.232
33.228,37.212
33.189,37.184
33.159,37.204
33.152,37.144
33.162,37.16
33.199,37.217
33.216,37.247
33.183,37.223
33.163,37.16
33.138,37.17
33.104,37.144
33.061,37.061
33.047,37.105
33.077,37.095
33.055,37.115
33.015,37.127
33.066,37.127
33.117,37.149
33.122,37.158
33.137,37.171
33.065,37.124
33.081,37.116
33.098,37.087
33.186,37.183
33.139,37.163
33.132,37.159
33.107,37.146
33.107,37.107
33.093,37.09
33.121,37.144
33.121,37.144
33.121,37.144
33.121,37.144
33.121,37.144
32.974,36.945
32.954,36.869
32.949,36.863
32.911,36.856
32.944,36.878
32.939,36.832
32.899,36.839
32.888,36.853
33.006,36.988
33.085,37.049
33.039,37.016
32.997,36.946
33.013,36.929
33.014,36.937
32.999,36.961
32.979,36.918
32.984,36.913
32.952,36.867
32.909,36.85
32.875,36.81
32.935,36.926
32.9,36.957
32.91,36.94
32.935,36.935
32.893,36.959
