Min,Max
27.5,36.085
27.603,36.208
27.578,36.149
27.564,36.14
27.49,36.127
27.542,36.143
27.568,36.184
27.544,36.194
27.521,36.07
27.561,36.191
27.576,36.151
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
27.587,36.131
28.194,36.054
28.258,36.126
28.294,36.057
28.162,36.142
28.046,36.043
28.032,36.089
27.968,36.111
27.898,36.06
27.951,36.32
27.908,36.221
27.914,36.237
27.832,36.204
27.826,36.2
27.817,36.329
27.775,36.277
27.832,36.244
27.845,36.249
27.827,36.209
27.815,36.286
27.827,36.239
27.848,36.221
27.791,36.189
27.785,36.172
27.777,36.166
27.752,36.151
27.724,36.137
27.765,36.17
27.713,36.202
27.727,36.182
27.728,36.215
27.688,36.147
27.682,36.181
27.718,36.164
27.726,36.167
27.734,36.164
27.692,36.158
27.691,36.138
27.694,36.156
27.732,36.168
27.734,36.192
27.74,36.222
27.744,36.167
27.736,36.139
27.715,36.175
27.736,36.191
27.751,36.183
27.731,36.3
27.731,36.22
27.76,36.18
27.714,36.228
27.754,36.191
27.715,36.183
27.71,36.184
27.659,36.129
27.735,36.15
27.721,36.179
27.679,36.145
27.708,36.242
27.709,36.193
27.703,36.127
27.708,36.204
27.701,36.147
27.749,36.313
27.782,36.305
27.772,36.248
27.755,36.276
27.734,36.307
27.737,36.232
27.756,36.285
27.766,36.253
27.756,36.29
27.723,36.304
27.719,36.255
27.716,36.275
27.688,36.234
27.709,36.19
27.681,36.267
27.672,36.25
27.677,36.169
27.674,36.17
27.772,36.324
27.818,36.346
27.784,36.281
27.768,36.29
27.769,36.299
27.782,36.297
27.682,36.221
27.679,36.235
27.649,36.239
27.637,36.24
27.607,36.264
27.616,36.166
27.66,36.264
27.661,36.242
27.671,36.218
27.648,36.216
27.674,36.251
27.708,36.23
27.692,36.259
27.725,36.355
27.679,36.396
27.687,36.266
27.672,36.23
27.697,36.204
27.722,36.287
27.715,36.3
27.726,36.315
27.717,36.282
27.727,36.325
27.729,36.228
27.73,36.257
27.715,36.26
27.715,36.26
27.715,36.26
27.715,36.26
27.715,36.26
27.644,36.093
27.687,36.105
27.677,36.075
27.672,36.044
27.657,36.05
27.67,36.022
27.672,36.059
27.692,36.098
27.732,36.151
27.739,36.102
27.723,36.14
27.733,36.122
27.671,36.064
27.686,36.074
27.712,36.21
27.75,36.182
27.747,36.171
27.761,36.222
27.747,36.168
27.748,36.11
27.725,36.192
27.713,36.102
27.683,36.056
27.694,36.062
27.625,36.045
27.625,36.082
27.673,36.13
27.693,36.077
27.665,36.057
27.621,36.139
27.636,36.054
27.619,36.051
27.604,36.042
27.625,36.042
27.629,36.02
27.637,36.029
27.602,36.039
27.628,36.08
27.62,36.108
27.638,36.208
27.66,36.203
27.633,36.07
27.599,36.135
27.578,36.036
27.642,36.079
27.683,36.146
27.7,36.098
27.692,36.113
27.716,36.118
27.684,36.08
27.635,36.183
27.649,36.124
27.637,36.137
27.625,36.086
27.646,36.113
27.63,36.198
27.643,36.095
27.649,36.083
27.648,36.105
27.621,36.061
27.61,36.009
27.614,35.993
27.623,36.068
27.617,36.173
27.61,36.183
27.589,36.155
27.583,36.112
27.574,36.031
27.59,36.039
27.627,36.058
27.615,36.053
27.63,36.116
27.623,36.03
27.614,36.084
27.601,36.037
27.593,36.012
27.584,36.028
27.575,36.062
27.552,36.017
27.536,36.008
27.652,36.256
27.674,36.217
27.685,36.231
27.663,36.167
27.661,36.125
27.662,36.124
27.682,36.16
27.655,36.128
27.667,36.156
27.675,36.142
27.672,36.135
27.666,36.201
27.652,36.179
27.689,36.217
27.727,36.16
27.703,36.21
27.699,36.196
27.718,36.171
27.684,36.217
27.703,36.194
27.667,36.169
27.609,36.176
27.615,36.124
27.649,36.145
27.657,36.125
27.647,36.117
27.601,36.14
27.599,36.212
27.627,36.273
27.666,36.239
27.609,36.209
27.625,36.204
27.594,36.213
27.594,36.213
27.594,36.213
27.594,36.213
27.594,36.213
27.67,36.052
27.688,36.051
27.669,36.155
27.648,36.068
27.651,36.056
27.682,36.079
27.666,36.06
27.632,36.02
27.696,36.137
27.728,36.149
27.671,36.075
27.645,36.074
27.671,36.099
27.668,36.038
27.642,36.046
27.617,36.027
27.61,36.062
27.61,36.088
27.576,36.035
27.573,36.081
27.609,36.069
27.599,36.208
27.627,36.07
27.593,36.065
27.597,36.03
27.594,36.109
27.608,36.1
27.61,36.115
27.616,36.042
27.568,36.024
27.599,36.015
27.63,36.05
27.708,36.161
27.706,36.23
27.705,36.174
27.668,36.156
27.64,36.138
27.672,36.236
27.71,36.21
27.686,36.197
27.688,36.281
27.716,36.166
27.649,36.191
27.658,36.153
27.694,36.202
27.682,36.162
27.656,36.215
27.701,36.174
27.667,36.179
27.675,36.141
27.64,36.111
27.609,36.076
27.588,36.077
27.62,36.085
27.611,36.098
27.658,36.12
27.742,36.209
27.734,36.182
27.738,36.308
27.713,36.221
27.697,36.24
27.716,36.156
27.689,36.167
27.714,36.184
27.734,36.3
27.685,36.174
27.652,36.142
27.636,36.148
27.705,36.21
27.714,36.193
27.686,36.175
27.703,36.203
27.682,36.18
27.669,36.201
27.606,36.09
27.578,36.23
27.591,36.131
27.563,36.143
27.546,36.195
27.552,36.123
27.595,36.188
27.57,36.196
27.552,36.186
27.513,36.101
27.521,36.04
27.521,36.071
27.568,36.077
27.566,36.075
27.583,36.113
27.549,36.082
27.531,36.123
27.548,36.21
27.532,36.105
27.521,36.092
27.512,36.068
27.535,36.077
27.494,36.117
27.485,36.108
27.495,36.031
27.534,36.044
27.521,36.059
27.511,36.076
27.485,36.016
27.5,36.081
27.512,36.111
27.521,36.086
27.521,36.156
27.492,36.068
27.495,36.122
27.516,36.099
27.521,36.141
27.521,36.069
27.5,36.016
27.511,36.042
27.511,36.098
27.506,36.169
27.545,36.245
27.565,36.164
27.541,36.102
27.508,36.132
27.521,36.07
27.502,36.112
27.544,36.242
27.529,36.135
27.506,36.211
27.495,36.131
27.506,36.091
27.495,36.053
27.464,36.056
27.464,36.086
27.464,36.086
27.464,36.086
27.464,36.086
27.646,36.117
27.659,36.118
27.723,36.144
27.744,36.144
27.755,36.107
27.718,36.093
27.692,36.053
27.647,36.142
27.718,36.123
27.734,36.136
27.735,36.12
27.697,36.168
27.701,36.203
27.697,36.164
27.745,36.158
27.712,36.141
27.726,36.213
27.745,36.177
27.768,36.162
27.763,36.183
27.683,36.129
27.699,36.096
27.718,36.096
27.746,36.134
27.728,36.113
27.661,36.08
27.66,36.202
27.681,36.1
27.687,36.174
27.682,36.203
27.666,36.229
27.661,36.095
27.69,36.084
27.682,36.162
27.661,36.225
27.665,36.172
27.646,36.055
27.635,36.175
27.619,36.06
27.629,36.12
27.612,36.041
27.601,36.078
27.615,36.064
27.589,36.035
27.648,36.06
27.677,36.048
27.62,36.104
27.636,36.113
27.632,36.109
27.586,36.122
27.622,36.156
27.682,36.185
27.672,36.165
27.668,36.112
27.666,36.125
27.65,36.162
27.689,36.2
27.683,36.268
27.682,36.217
27.718,36.202
27.688,36.129
27.676,36.207
27.661,36.155
27.744,36.191
27.717,36.243
27.74,36.191
27.747,36.276
27.703,36.2
27.69,36.152
27.673,36.148
27.625,36.177
27.622,36.202
27.668,36.181
27.658,36.114
27.685,36.181
27.722,36.17
27.708,36.167
27.706,36.152
27.688,36.129
27.662,36.236
27.682,36.227
27.664,36.177
27.676,36.14
27.63,36.112
27.635,36.172
27.639,36.07
27.667,36.104
27.643,36.136
27.598,36.2
27.589,36.069
27.563,36.071
27.568,36.216
27.666,36.19
27.629,36.237
27.614,36.126
27.633,36.118
27.646,36.151
27.682,36.086
27.677,36.274
27.671,36.199
27.691,36.231
27.664,36.139
27.715,36.219
27.697,36.15
27.69,36.147
27.646,36.139
27.662,36.128
27.62,36.127
27.621,36.2
27.614,36.204
27.625,36.112
27.623,36.09
27.604,36.089
27.604,36.124
27.614,36.113
27.615,36.085
27.656,36.132
27.643,36.156
27.643,36.156
27.643,36.156
27.643,36.156
27.643,36.156
27.695,36.103
27.78,36.205
27.768,36.181
27.778,36.137
27.77,36.145
27.801,36.172
27.817,36.174
27.78,36.129
27.82,36.142
27.848,36.166
27.812,36.147
27.785,36.126
27.802,36.139
27.829,36.156
27.867,36.225
27.893,36.257
27.837,36.236
27.867,36.239
27.84,36.291
27.812,36.302
27.853,36.202
27.832,36.219
27.863,36.213
27.85,36.333
27.822,36.219
27.788,36.192
27.815,36.258
27.848,36.258
27.842,36.216
27.848,36.144
27.832,36.247
27.822,36.186
27.817,36.175
27.792,36.156
27.801,36.23
27.79,36.137
27.753,36.157
27.76,36.22
27.869,36.268
27.846,36.222
27.863,36.245
27.842,36.24
27.844,36.201
27.884,36.224
27.823,36.207
27.797,36.196
27.827,36.207
27.817,36.202
27.785,36.258
27.812,36.289
27.868,36.309
27.866,36.331
27.854,36.351
27.784,36.198
27.76,36.116
27.76,36.156
27.776,36.227
27.817,36.202
27.827,36.212
27.81,36.224
27.796,36.193
27.807,36.177
27.893,36.215
27.874,36.217
27.827,36.195
27.843,36.221
27.826,36.234
27.842,36.241
27.849,36.204
27.824,36.231
27.801,36.228
27.78,36.192
27.765,36.176
27.744,36.177
27.75,36.22
27.77,36.204
27.774,36.226
27.78,36.166
27.739,36.14
27.775,36.25
27.785,36.267
27.81,36.173
27.844,36.132
27.846,36.122
27.792,36.15
27.707,36.142
27.743,36.224
27.714,36.149
27.692,36.172
27.661,36.246
27.651,36.197
27.681,36.241
27.67,36.32
27.714,36.154
27.783,36.245
27.754,36.204
27.749,36.238
27.735,36.219
27.746,36.186
27.749,36.232
27.714,36.2
27.662,36.113
27.668,36.139
27.638,36.132
27.624,36.149
27.628,36.195
27.6,36.156
27.604,36.218
27.583,36.191
27.608,36.113
27.704,36.237
27.708,36.233
27.743,36.273
27.753,36.178
27.715,36.16
27.666,36.156
27.677,36.156
27.648,36.183
27.604,36.191
27.609,36.17
27.594,36.16
27.602,36.172
27.606,36.152
27.557,36.172
27.568,36.174
27.586,36.238
27.58,36.102
27.564,36.119
27.609,36.25
27.625,36.171
27.57,36.165
27.6,36.186
27.594,36.218
27.563,36.143
27.573,36.193
27.578,36.228
27.56,36.178
27.573,36.166
27.56,36.157
27.521,36.171
27.56,36.198
27.56,36.198
27.56,36.198
27.56,36.198
27.56,36.198
27.735,36.31
27.754,36.172
27.76,36.272
27.765,36.281
27.749,36.275
27.754,36.175
27.744,36.18
27.78,36.179
27.832,36.226
27.863,36.267
27.855,36.271
27.827,36.21
27.791,36.201
27.811,36.208
27.807,36.254
27.8,36.23
27.8,36.247
27.743,36.173
27.746,36.173
27.739,36.165
27.765,36.221
27.776,36.262
27.818,36.334
27.794,36.24
27.775,36.246
27.76,36.236
27.771,36.191
27.76,36.339
27.788,36.242
27.768,36.189
27.819,36.202
27.77,36.203
27.726,36.22
27.734,36.327
27.714,36.205
27.76,36.201
27.754,36.231
27.739,36.205
27.735,36.198
27.703,36.187
27.681,36.181
27.671,36.265
27.703,36.251
27.704,36.224
27.689,36.18
27.66,36.117
27.682,36.138
27.693,36.146
27.719,36.151
27.679,36.158
27.737,36.21
27.722,36.225
27.74,36.264
27.684,36.201
27.713,36.177
27.729,36.239
27.749,36.263
27.77,36.257
27.741,36.24
27.71,36.248
27.701,36.304
27.73,36.244
27.741,36.289
27.728,36.42
27.75,36.28
27.703,36.276
27.717,36.281
