Min,Max
26.095,34.798
26.195,34.792
26.215,34.823
26.156,34.769
26.094,34.732
26.065,34.75
26.189,34.695
26.144,34.679
26.204,34.69
26.173,34.654
26.153,34.647
26.258,34.642
26.199,34.643
26.187,34.696
26.304,34.683
26.442,34.709
26.559,34.703
26.569,34.747
26.609,34.751
26.571,34.744
26.556,34.779
26.543,34.763
26.609,34.771
26.652,34.786
26.634,34.839
26.615,34.743
26.635,34.805
26.659,34.721
26.57,34.777
26.562,34.788
26.574,34.795
26.622,34.748
26.696,34.771
26.577,34.754
26.694,34.803
26.624,34.848
26.578,34.772
26.566,34.735
26.568,34.773
26.631,34.778
26.538,34.728
26.657,34.718
26.743,34.751
26.728,34.734
26.807,34.722
26.923,34.797
27.014,34.806
27.019,34.792
27.068,34.777
27.086,34.777
27.039,34.784
27.025,34.755
26.965,34.751
26.875,34.772
26.932,34.756
26.918,34.739
26.801,34.737
26.774,34.688
26.838,34.773
26.852,34.792
26.803,34.822
26.752,34.818
26.783,34.782
26.75,34.775
26.67,34.791
26.727,34.763
26.743,34.781
26.74,34.775
26.749,34.736
26.814,34.838
26.735,34.82
26.772,34.83
26.772,34.83
26.772,34.83
26.772,34.83
27.332,35.305
27.343,35.312
27.343,35.313
27.331,35.329
27.291,35.35
27.238,35.359
27.205,35.35
27.175,35.322
27.118,35.314
27.088,35.309
27.075,35.303
27.062,35.334
27.061,35.358
27.046,35.338
26.97,35.275
27.051,35.266
27.07,35.248
27.024,35.23
26.988,35.234
27.002,35.231
27.067,35.3
27.104,35.341
27.067,35.282
27.13,35.312
27.13,35.299
27.106,35.327
27.078,35.284
27.075,35.325
26.96,35.287
26.975,35.305
26.934,35.286
26.877,35.265
26.805,35.267
26.807,35.277
26.756,35.245
26.792,35.265
26.775,35.248
26.772,35.244
26.799,35.237
26.848,35.306
26.846,35.288
26.845,35.299
26.837,35.292
26.867,35.298
26.874,35.266
26.857,35.271
26.843,35.247
26.865,35.263
26.883,35.248
26.886,35.282
26.892,35.244
26.907,35.271
26.907,35.271
26.838,35.26
26.858,35.234
26.828,35.242
26.835,35.267
26.827,35.271
26.836,35.275
26.801,35.273
26.803,35.291
26.766,35.293
26.768,35.256
26.763,35.235
26.729,35.211
26.694,35.214
26.739,35.216
26.782,35.227
26.762,35.204
26.762,35.238
26.686,35.208
26.751,35.242
26.697,35.22
26.637,35.206
26.71,35.223
26.713,35.228
26.773,35.198
26.765,35.18
26.775,35.192
26.778,35.203
26.755,35.199
26.85,35.209
26.864,35.262
26.772,35.188
26.772,35.203
26.691,35.206
26.77,35.216
26.739,35.26
26.817,35.244
26.886,35.252
26.911,35.257
26.947,35.248
26.93,35.24
26.897,35.221
26.899,35.196
26.851,35.216
26.873,35.229
26.886,35.202
26.913,35.226
26.823,35.269
26.87,35.266
26.899,35.259
26.822,35.279
26.839,35.273
26.845,35.269
26.808,35.256
26.833,35.278
26.828,35.266
26.818,35.286
26.839,35.298
26.786,35.301
26.779,35.294
26.791,35.334
26.778,35.31
26.801,35.293
26.769,35.3
26.734,35.266
26.751,35.279
26.697,35.264
26.682,35.255
26.671,35.242
26.622,35.217
26.591,35.248
26.679,35.332
26.603,35.326
26.605,35.297
26.645,35.32
26.675,35.364
26.629,35.322
26.585,35.269
26.528,35.227
26.518,35.264
26.506,35.269
26.436,35.262
26.405,35.295
26.414,35.282
26.41,35.281
26.354,35.272
26.316,35.275
26.313,35.261
26.286,35.262
26.296,35.25
26.303,35.275
26.306,35.231
26.314,35.239
26.358,35.259
26.368,35.258
26.436,35.289
26.416,35.283
26.375,35.341
26.362,35.329
26.349,35.302
26.358,35.307
26.329,35.277
26.334,35.339
26.289,35.303
26.24,35.279
26.251,35.293
26.193,35.271
26.233,35.225
26.189,35.22
26.188,35.242
26.213,35.217
26.165,35.219
26.117,35.23
26.215,35.251
26.244,35.258
26.26,35.277
26.299,35.306
26.315,35.28
26.343,35.297
26.339,35.287
26.352,35.313
26.291,35.279
26.279,35.32
26.279,35.322
26.299,35.271
26.234,35.276
26.303,35.276
26.349,35.281
26.311,35.304
26.273,35.272
26.26,35.246
26.278,35.29
26.274,35.268
26.255,35.239
26.245,35.261
26.284,35.268
26.289,35.239
26.217,35.238
26.185,35.267
26.208,35.237
26.234,35.223
26.272,35.225
26.249,35.217
26.288,35.228
26.298,35.209
26.28,35.212
26.256,35.196
26.273,35.233
26.275,35.208
26.297,35.191
26.324,35.211
26.295,35.191
26.27,35.175
26.256,35.176
26.215,35.175
26.244,35.221
26.234,35.215
26.212,35.227
26.195,35.247
26.207,35.238
26.253,35.213
26.2,35.184
26.232,35.193
26.176,35.153
26.202,35.153
26.232,35.164
26.202,35.185
26.138,35.2
26.213,35.182
26.164,35.154
26.166,35.151
26.145,35.181
26.198,35.182
26.22,35.166
26.194,35.168
26.169,35.16
26.19,35.156
26.206,35.167
26.178,35.182
26.221,35.226
26.247,35.234
26.228,35.202
26.193,35.216
26.165,35.201
26.193,35.167
26.128,35.151
26.181,35.172
26.183,35.153
26.175,35.162
26.156,35.144
26.202,35.161
26.187,35.175
26.244,35.18
26.299,35.206
26.272,35.195
26.315,35.184
26.33,35.236
26.359,35.235
26.299,35.232
26.287,35.226
26.286,35.245
26.346,35.227
26.35,35.246
26.322,35.281
26.318,35.241
26.287,35.21
26.277,35.188
26.271,35.211
26.224,35.196
26.236,35.202
26.228,35.225
26.259,35.23
26.283,35.235
26.235,35.24
26.201,35.207
26.174,35.181
26.143,35.173
26.138,35.185
26.166,35.219
26.173,35.232
26.165,35.198
26.18,35.187
26.152,35.169
26.156,35.155
26.114,35.186
26.115,35.167
26.142,35.174
26.078,35.213
26.18,35.202
26.125,35.202
26.17,35.21
26.169,35.211
26.146,35.24
26.115,35.211
26.159,35.205
26.181,35.225
26.141,35.245
26.152,35.251
26.128,35.237
26.183,35.262
26.129,35.257
26.187,35.268
26.113,35.281
26.157,35.269
26.124,35.243
26.166,35.237
26.159,35.23
26.142,35.211
26.153,35.206
26.203,35.21
26.186,35.217
26.229,35.185
26.186,35.213
26.23,35.196
26.235,35.181
26.192,35.187
26.189,35.181
26.179,35.175
26.241,35.167
26.17,35.166
26.222,35.176
26.245,35.162
26.225,35.133
26.227,35.133
26.201,35.113
26.234,35.098
26.213,35.112
26.239,35.113
26.264,35.105
26.246,35.124
26.289,35.092
26.283,35.104
26.261,35.095
26.24,35.083
26.255,35.08
26.253,35.094
26.227,35.076
26.248,35.077
26.25,35.097
26.214,35.087
26.247,35.083
26.327,35.118
26.256,35.079
26.312,35.069
26.301,35.082
26.28,35.099
26.302,35.083
26.368,35.095
26.36,35.118
26.358,35.119
26.425,35.152
26.355,35.118
26.357,35.128
26.336,35.119
26.321,35.132
26.316,35.088
26.314,35.109
26.348,35.106
26.33,35.132
26.364,35.108
26.359,35.116
26.351,35.084
26.328,35.093
26.324,35.116
26.361,35.087
26.365,35.112
26.397,35.132
26.381,35.131
26.364,35.165
26.402,35.121
26.399,35.104
26.355,35.09
26.364,35.073
26.369,35.122
26.347,35.084
26.379,35.102
26.334,35.109
26.372,35.153
26.348,35.141
26.41,35.134
26.379,35.135
26.447,35.16
26.434,35.127
26.365,35.069
26.344,35.009
26.346,35.022
26.389,35.058
26.402,35.016
26.381,35.046
26.348,35.067
26.428,35.027
26.391,34.997
26.363,35.023
26.384,34.991
26.422,35.02
26.392,35.01
26.406,35.017
26.481,35.04
26.449,35.063
26.464,35.043
26.51,35.069
26.529,35.075
26.571,35.095
26.534,35.122
26.522,35.067
26.565,35.078
26.582,35.119
26.598,35.133
26.609,35.149
26.671,35.143
26.681,35.14
26.59,35.121
26.65,35.153
26.609,35.134
26.611,35.187
26.624,35.167
26.648,35.156
26.685,35.156
26.69,35.104
26.653,35.089
26.619,35.09
26.61,35.099
26.663,35.12
26.663,35.123
26.584,35.102
26.625,35.17
26.682,35.175
26.697,35.167
26.712,35.179
26.732,35.154
26.701,35.153
26.543,35.047
26.587,35.051
26.633,35.057
26.63,35.052
26.568,35.053
26.558,35.023
26.644,35.061
26.672,35.1
26.708,35.111
26.669,35.132
26.665,35.111
26.628,35.125
26.629,35.078
26.603,35.115
26.586,35.079
26.616,35.086
26.65,35.113
26.632,35.127
26.661,35.181
26.656,35.151
26.656,35.151
26.656,35.151
26.656,35.151
26.656,35.151
26.656,35.151
26.819,35.291
26.793,35.298
26.794,35.345
26.742,35.308
26.795,35.311
26.816,35.343
26.727,35.297
26.732,35.322
26.791,35.356
26.763,35.314
26.758,35.325
26.706,35.307
26.715,35.302
26.742,35.308
26.797,35.315
26.8,35.341
26.802,35.346
26.802,35.329
26.826,35.324
26.767,35.303
26.746,35.269
26.755,35.244
26.696,35.224
26.697,35.209
26.694,35.218
26.688,35.217
26.81,35.309
26.81,35.326
26.85,35.323
26.799,35.278
26.772,35.286
26.799,35.313
26.745,35.186
26.725,35.199
26.742,35.211
26.722,35.193
26.759,35.183
26.82,35.247
26.922,35.322
26.921,35.353
26.977,35.329
26.946,35.33
26.864,35.33
26.927,35.296
26.921,35.29
26.908,35.298
26.915,35.327
26.928,35.321
26.908,35.304
26.905,35.327
26.957,35.35
27.026,35.352
27.05,35.365
27.045,35.364
26.993,35.337
27.052,35.331
26.971,35.282
26.936,35.275
26.985,35.278
26.927,35.288
26.941,35.297
26.921,35.278
26.959,35.297
26.969,35.297
26.973,35.303
26.98,35.315
26.984,35.351
26.935,35.298
27.045,35.298
27.022,35.272
26.998,35.282
26.99,35.261
26.994,35.291
26.949,35.302
26.95,35.28
26.867,35.268
26.896,35.259
26.868,35.23
26.841,35.211
26.847,35.235
26.865,35.281
26.871,35.268
26.916,35.273
26.828,35.249
26.922,35.288
26.881,35.305
26.931,35.277
26.965,35.353
26.94,35.342
26.983,35.349
26.933,35.325
26.974,35.324
26.886,35.271
26.983,35.308
26.966,35.271
26.962,35.282
26.969,35.288
27.038,35.276
27.008,35.293
27.031,35.289
27.108,35.279
27.073,35.284
27.062,35.289
27.009,35.294
27.085,35.284
27.011,35.245
27.089,35.278
