Min,Max
27.35,35.941
27.393,35.91
27.4,35.926
27.401,35.932
27.388,35.943
27.403,35.939
27.439,35.934
27.369,35.892
27.396,35.884
27.419,35.909
27.438,35.949
27.45,35.942
27.391,35.933
27.46,35.946
27.378,35.963
27.413,35.967
27.33,35.918
27.33,35.864
27.315,35.842
27.229,35.865
27.271,35.897
27.225,35.898
27.299,35.906
27.308,35.885
27.318,35.912
27.326,35.964
27.448,35.954
27.426,35.997
27.383,35.969
27.408,35.92
27.334,35.916
27.427,35.951
27.372,35.934
27.398,35.924
27.403,35.923
27.375,35.916
27.409,35.924
27.468,35.916
27.44,35.942
27.566,35.939
27.583,35.948
27.565,35.964
27.66,35.968
27.657,36.018
27.763,35.993
27.758,36.022
27.709,35.989
27.719,36.0
27.764,35.986
27.75,35.971
27.835,35.975
27.889,35.943
27.859,35.957
27.91,35.941
27.945,35.901
28.017,35.913
27.944,35.941
28.004,35.963
27.978,35.923
27.951,35.912
27.954,35.934
28.037,35.904
28.061,35.909
28.103,35.921
28.033,35.913
28.095,35.936
28.132,35.989
28.157,36.007
28.155,36.017
28.106,35.982
28.06,35.969
28.074,35.93
28.162,35.975
28.191,35.976
28.185,35.976
28.201,35.951
28.097,35.943
28.187,35.945
28.19,35.952
28.18,35.944
28.171,35.941
28.145,35.945
28.184,35.919
28.156,35.92
28.138,35.945
28.205,35.985
28.06,35.98
28.075,35.994
28.101,35.992
28.063,35.964
28.072,35.936
28.14,35.904
28.17,35.881
28.169,35.901
28.183,35.878
28.275,35.912
28.324,35.942
28.382,35.978
28.435,35.969
28.45,35.969
28.438,35.973
28.496,35.945
28.464,35.933
28.475,35.938
28.487,35.914
28.453,35.927
28.365,35.952
28.354,35.944
28.335,35.92
28.298,35.878
28.305,35.913
28.311,35.926
28.29,35.935
28.336,35.943
28.324,35.899
28.343,35.909
28.323,35.877
28.351,35.865
28.421,35.877
28.479,35.835
28.456,35.865
28.468,35.907
28.451,35.902
28.43,35.889
28.433,35.905
28.412,35.896
28.413,35.892
28.482,35.941
28.476,35.919
28.414,35.923
28.434,35.935
28.52,35.958
28.545,35.968
28.607,35.939
28.548,35.931
28.571,35.93
28.669,35.977
28.582,35.942
28.552,35.92
28.603,35.949
28.541,35.982
28.494,35.921
28.467,35.916
28.514,35.946
28.451,35.923
28.481,35.964
28.459,35.92
28.472,35.919
28.445,35.941
28.454,35.94
28.482,35.952
28.498,35.963
28.467,35.986
28.495,35.945
28.487,35.929
28.459,35.955
28.425,35.949
28.388,35.924
28.398,35.956
28.472,35.956
28.519,35.957
28.628,35.935
28.575,35.91
28.563,35.951
28.519,35.912
28.575,35.94
28.501,35.928
28.544,35.979
28.488,35.922
28.469,35.928
28.482,35.903
28.406,35.943
28.445,35.928
28.44,35.923
28.498,35.923
28.44,35.915
28.454,35.977
28.454,35.972
28.402,36.018
28.308,36.04
28.459,36.014
28.363,36.01
28.489,36.008
28.415,36.001
28.39,35.993
28.423,36.016
28.421,36.022
28.421,35.976
28.357,35.966
28.469,35.996
28.48,35.987
28.438,35.976
28.371,35.991
28.369,36.0
28.426,35.964
28.343,35.972
28.383,35.952
28.398,35.965
28.451,35.983
28.45,35.966
28.421,35.998
28.483,36.013
28.445,35.98
28.497,35.972
28.486,35.969
28.436,35.945
28.437,35.944
28.444,35.95
28.471,35.979
28.478,35.988
28.476,35.968
28.527,35.963
28.528,35.988
28.483,35.953
28.418,35.955
28.455,35.944
28.377,35.918
28.342,35.889
28.305,35.896
28.338,35.862
28.245,35.846
28.361,35.868
28.417,35.876
28.389,35.929
28.428,35.915
28.444,35.887
28.518,35.897
28.491,35.906
28.46,35.967
28.45,35.91
28.395,35.949
28.4,35.924
28.454,35.887
28.499,35.91
28.48,35.922
28.429,35.907
28.457,35.906
28.386,35.877
28.396,35.887
28.339,35.846
28.407,35.88
28.444,35.935
28.486,35.942
28.528,35.92
28.536,35.937
28.552,35.936
28.594,35.937
28.613,35.945
28.668,35.901
28.571,35.881
28.605,35.891
28.663,35.9
28.681,35.955
28.709,35.956
28.769,35.907
28.74,35.884
28.738,35.889
28.729,35.909
28.758,35.949
28.735,35.962
28.757,35.95
28.719,35.952
28.724,35.968
28.747,35.991
28.734,36.004
28.697,35.905
28.672,35.958
28.726,35.914
28.585,35.949
28.505,35.926
28.598,35.912
28.614,35.983
28.624,35.951
28.68,35.933
28.716,35.907
28.738,35.956
28.714,35.919
28.694,35.865
28.753,35.879
28.649,35.862
28.562,35.851
28.761,35.863
28.822,35.918
28.804,35.919
28.766,35.924
28.784,35.902
28.795,35.922
28.845,35.947
28.849,35.942
