Min,Max
27.329,33.689
27.452,33.693
27.518,33.723
27.559,33.714
27.506,33.691
27.509,33.676
27.518,33.691
27.558,33.666
27.521,33.707
27.441,33.662
27.436,33.659
27.475,33.716
27.484,33.77
27.47,33.721
27.434,33.68
27.458,33.74
27.43,33.712
27.425,33.73
27.386,33.722
27.396,33.714
27.44,33.701
27.395,33.691
27.418,33.702
27.426,33.682
27.441,33.667
27.42,33.673
27.426,33.686
27.472,33.698
27.456,33.713
27.454,33.7
27.449,33.711
27.438,33.685
27.462,33.716
27.48,33.714
27.5,33.711
27.469,33.717
27.512,33.713
27.508,33.711
27.533,33.755
27.567,33.751
27.57,33.727
27.529,33.712
27.537,33.723
27.56,33.724
27.502,33.727
27.495,33.711
27.505,33.75
27.502,33.745
27.528,33.786
27.513,33.808
27.519,33.793
27.536,33.817
27.555,33.829
27.571,33.806
27.55,33.791
27.546,33.809
27.54,33.804
27.541,33.82
27.522,33.819
27.501,33.792
27.531,33.821
27.536,33.831
27.511,33.796
27.518,33.801
27.502,33.822
27.505,33.774
27.47,33.763
27.478,33.782
27.456,33.781
27.453,33.782
27.479,33.756
27.473,33.765
27.453,33.775
27.452,33.738
27.49,33.781
27.524,33.817
27.551,33.861
27.541,33.839
27.538,33.835
27.529,33.808
27.535,33.846
27.575,33.862
27.569,33.844
27.545,33.83
27.558,33.849
27.56,33.814
27.535,33.823
27.559,33.838
27.523,33.812
27.516,33.818
27.519,33.791
27.469,33.78
27.456,33.734
27.365,33.681
27.371,33.68
27.383,33.682
27.383,33.709
27.368,33.705
27.367,33.688
27.428,33.78
27.45,33.769
27.413,33.739
27.482,33.781
27.475,33.773
27.48,33.791
27.52,33.845
27.498,33.809
27.556,33.818
27.543,33.85
27.554,33.826
27.546,33.823
27.493,33.783
27.482,33.826
27.495,33.794
27.523,33.823
27.514,33.809
27.526,33.824
27.531,33.819
27.51,33.792
27.508,33.808
27.531,33.798
27.503,33.799
27.48,33.796
27.558,33.833
27.586,33.87
27.59,33.874
27.569,33.854
27.558,33.852
27.546,33.851
27.548,33.895
27.541,33.854
27.53,33.841
27.569,33.864
27.571,33.874
27.542,33.887
27.504,33.819
27.471,33.812
27.472,33.816
27.447,33.774
27.45,33.779
27.504,33.796
27.523,33.864
27.516,33.861
27.509,33.859
27.501,33.832
27.464,33.809
27.498,33.843
27.45,33.859
27.464,33.846
27.519,33.862
27.507,33.862
27.5,33.817
27.49,33.836
27.503,33.837
27.464,33.83
27.458,33.806
27.463,33.818
27.459,33.791
27.449,33.815
27.492,33.846
27.523,33.878
27.501,33.866
27.503,33.832
27.496,33.854
27.505,33.848
27.456,33.835
27.455,33.828
27.457,33.814
27.485,33.79
27.485,33.823
27.467,33.806
27.46,33.779
27.46,33.757
27.457,33.759
27.452,33.757
27.456,33.774
27.439,33.762
27.472,33.809
27.453,33.833
27.462,33.783
27.471,33.814
27.474,33.816
27.463,33.791
27.455,33.797
27.495,33.844
27.482,33.846
27.48,33.811
27.461,33.776
27.478,33.789
27.45,33.842
27.464,33.802
27.432,33.798
27.426,33.79
27.443,33.783
27.454,33.796
27.446,33.781
27.404,33.723
27.452,33.768
27.463,33.76
27.415,33.807
27.425,33.791
27.426,33.812
27.448,33.826
27.425,33.767
27.488,33.806
27.456,33.785
27.441,33.786
27.479,33.842
27.458,33.804
27.451,33.784
27.466,33.861
27.504,33.801
27.48,33.803
27.516,33.849
27.46,33.824
27.49,33.816
27.483,33.814
27.477,33.794
27.496,33.814
27.478,33.809
27.509,33.814
27.508,33.834
27.474,33.839
27.459,33.808
27.493,33.778
27.594,33.891
27.609,33.861
27.619,33.868
27.589,33.885
27.593,33.873
27.555,33.857
27.538,33.843
27.548,33.819
27.529,33.849
27.58,33.823
27.543,33.873
27.548,33.816
27.583,33.855
