Min,Max
28.924,36.45
28.917,36.413
28.899,36.399
28.926,36.412
28.949,36.397
28.942,36.361
28.87,36.373
28.866,36.469
28.897,36.387
28.919,36.395
28.936,36.446
28.91,36.402
28.948,36.392
28.942,36.395
28.84,36.315
28.982,36.407
28.937,36.392
28.954,36.449
29.022,36.416
28.978,36.43
29.026,36.437
29.04,36.468
29.048,36.43
29.128,36.401
29.082,36.404
29.119,36.428
29.182,36.387
29.184,36.436
29.205,36.379
29.198,36.358
29.16,36.373
29.247,36.394
29.181,36.406
29.237,36.415
29.2,36.36
29.185,36.383
29.32,36.467
29.315,36.433
29.254,36.492
29.364,36.473
29.347,36.436
29.279,36.496
29.213,36.36
29.214,36.336
29.186,36.294
29.199,36.331
29.236,36.343
29.178,36.326
29.225,36.323
29.24,36.396
29.222,36.437
29.268,36.383
29.218,36.39
29.154,36.344
29.206,36.424
29.236,36.366
29.185,36.296
29.209,36.334
29.154,36.287
29.144,36.387
29.198,36.36
29.21,36.298
29.212,36.278
29.206,36.312
29.17,36.365
29.151,36.291
29.247,36.387
29.183,36.347
29.187,36.33
29.197,36.354
29.278,36.321
29.16,36.356
29.255,36.432
29.362,36.448
29.303,36.438
29.308,36.448
29.369,36.422
29.358,36.502
29.432,36.491
29.315,36.461
29.342,36.43
29.418,36.45
29.369,36.497
29.351,36.456
29.369,36.489
29.338,36.455
29.328,36.465
29.391,36.462
29.466,36.41
29.355,36.408
29.315,36.337
29.338,36.354
29.327,36.329
29.351,36.328
29.253,36.335
29.337,36.266
29.508,36.438
29.477,36.447
29.513,36.493
29.489,36.489
29.505,36.451
29.466,36.492
29.406,36.378
29.402,36.362
29.436,36.405
29.446,36.415
29.391,36.388
29.457,36.381
29.385,36.356
29.466,36.334
29.415,36.334
29.307,36.344
29.412,36.354
29.411,36.408
29.409,36.4
29.367,36.314
29.423,36.258
29.37,36.312
29.322,36.362
29.423,36.346
29.38,36.308
29.342,36.32
29.301,36.24
29.31,36.259
29.34,36.3
29.316,36.312
29.408,36.336
29.441,36.401
29.43,36.374
29.364,36.365
29.463,36.365
29.487,36.4
29.505,36.392
29.509,36.393
29.549,36.357
29.482,36.427
29.531,36.366
29.451,36.377
29.457,36.4
29.628,36.428
29.569,36.406
29.549,36.406
29.483,36.461
29.541,36.473
29.598,36.452
29.594,36.485
29.58,36.45
29.578,36.418
29.552,36.44
29.52,36.381
29.594,36.465
29.635,36.461
29.655,36.468
29.656,36.414
29.573,36.421
29.619,36.458
29.582,36.444
29.642,36.494
29.648,36.398
29.654,36.414
29.617,36.459
29.677,36.425
29.538,36.362
29.619,36.317
29.586,36.391
29.624,36.374
29.631,36.348
29.618,36.435
29.57,36.359
29.593,36.317
29.571,36.371
29.617,36.321
29.589,36.367
29.602,36.331
29.652,36.353
29.631,36.365
29.615,36.419
29.624,36.407
29.625,36.33
29.676,36.375
29.72,36.368
29.678,36.389
29.661,36.439
29.643,36.346
29.67,36.388
29.646,36.324
29.716,36.351
29.769,36.402
29.706,36.445
29.822,36.41
29.807,36.418
29.792,36.404
29.652,36.326
29.63,36.265
29.599,36.26
29.624,36.233
29.618,36.315
29.619,36.293
29.636,36.349
29.773,36.301
29.705,36.255
29.68,36.267
29.716,36.298
29.733,36.275
29.666,36.267
29.735,36.272
29.82,36.298
29.824,36.259
29.809,36.277
29.777,36.293
29.824,36.304
29.831,36.345
29.853,36.319
29.746,36.276
29.803,36.281
29.812,36.326
29.737,36.223
29.734,36.287
29.693,36.212
29.755,36.182
29.6,36.209
29.687,36.216
29.705,36.252
29.655,36.275
29.752,36.227
29.682,36.246
29.688,36.295
29.683,36.284
29.7,36.256
29.686,36.256
29.686,36.256
29.686,36.256
29.686,36.256
29.686,36.256
29.903,36.558
29.906,36.546
30.0,36.575
30.009,36.582
29.995,36.525
29.97,36.53
29.928,36.578
29.981,36.522
29.96,36.61
29.983,36.552
29.923,36.654
29.919,36.53
29.899,36.512
29.907,36.535
29.925,36.488
29.97,36.568
29.906,36.52
29.945,36.513
29.931,36.524
29.933,36.468
29.938,36.526
30.024,36.516
29.954,36.542
29.896,36.529
29.944,36.608
30.019,36.546
30.032,36.579
29.984,36.627
29.984,36.571
30.052,36.544
29.972,36.524
29.907,36.528
30.042,36.601
30.006,36.56
30.059,36.582
30.012,36.563
29.962,36.523
29.968,36.55
29.83,36.436
29.882,36.438
29.885,36.463
29.874,36.477
29.882,36.432
29.865,36.412
29.888,36.465
29.928,36.489
29.865,36.45
29.891,36.475
29.887,36.46
29.901,36.491
30.007,36.566
30.003,36.559
29.978,36.552
29.98,36.556
29.942,36.567
29.873,36.549
29.946,36.557
29.967,36.571
29.952,36.577
29.972,36.516
30.05,36.533
30.003,36.568
29.859,36.497
29.952,36.477
29.856,36.423
29.881,36.427
29.936,36.437
29.899,36.456
29.912,36.434
29.94,36.486
29.931,36.517
29.991,36.529
29.953,36.546
29.812,36.547
29.976,36.516
29.914,36.558
29.877,36.535
29.918,36.522
29.873,36.431
29.928,36.475
29.857,36.403
29.903,36.449
29.837,36.415
29.885,36.42
29.86,36.43
29.86,36.431
29.849,36.448
29.853,36.438
29.821,36.446
29.832,36.425
29.872,36.573
29.913,36.433
30.017,36.53
30.014,36.568
29.96,36.58
30.032,36.536
29.982,36.535
30.032,36.522
29.87,36.387
29.892,36.381
29.788,36.331
29.857,36.325
29.842,36.371
29.854,36.392
29.868,36.341
29.849,36.406
29.9,36.415
29.799,36.396
29.859,36.443
29.891,36.432
29.945,36.497
30.012,36.513
29.913,36.52
29.902,36.497
29.834,36.488
29.938,36.507
29.924,36.503
29.892,36.535
29.918,36.487
29.917,36.522
29.872,36.512
29.933,36.492
29.974,36.636
30.024,36.563
29.944,36.595
29.96,36.575
29.884,36.893
29.906,36.572
29.86,36.552
29.862,36.517
29.855,36.509
29.834,36.478
29.886,36.51
29.822,36.648
29.839,36.574
29.878,36.593
29.842,36.636
29.853,36.551
29.925,36.558
29.873,36.539
29.88,36.501
29.873,36.513
29.821,36.544
29.871,36.538
29.892,36.583
29.862,36.524
29.935,36.553
29.882,36.544
29.918,36.578
29.901,36.598
29.916,36.561
29.92,36.611
29.934,36.575
29.889,36.516
29.892,36.491
29.87,36.551
29.961,36.534
29.894,36.545
29.909,36.501
29.916,36.501
29.905,36.563
29.872,36.507
29.895,36.506
29.937,36.586
29.887,36.531
29.898,36.562
29.911,36.516
29.878,36.554
29.926,36.551
29.841,36.559
29.904,36.512
29.857,36.49
29.846,36.485
29.841,36.542
29.936,36.508
29.973,36.516
30.005,36.615
30.023,36.605
30.095,36.619
29.985,36.599
29.997,36.609
30.001,36.576
29.972,36.617
30.043,36.649
30.01,36.576
29.986,36.633
29.997,36.661
29.99,36.602
29.992,36.493
29.953,36.549
29.95,36.525
29.943,36.558
29.978,36.555
29.94,36.531
30.002,36.58
30.012,36.613
30.06,36.598
30.023,36.59
30.081,36.634
30.049,36.635
30.036,36.65
30.092,36.652
30.068,36.602
30.045,36.637
30.061,36.617
30.058,36.607
30.021,36.578
30.114,36.695
30.08,36.602
30.076,36.621
30.107,36.615
30.162,36.603
30.069,36.541
29.964,36.513
30.036,36.462
30.045,36.488
29.972,36.543
29.966,36.494
30.139,36.612
30.059,36.598
30.099,36.633
30.175,36.565
30.158,36.587
30.083,36.572
30.248,36.655
30.192,36.685
30.145,36.703
30.204,36.758
30.238,36.714
30.16,36.71
30.24,36.695
30.191,36.646
30.192,36.653
30.263,36.666
30.19,36.639
30.281,36.688
30.177,36.593
30.225,36.576
30.177,36.601
30.245,36.574
30.215,36.556
30.229,36.604
30.115,36.472
30.037,36.404
30.147,36.488
30.136,36.509
30.08,36.487
30.128,36.42
30.074,36.402
30.126,36.399
30.197,36.437
30.156,36.423
30.24,36.422
30.127,36.428
30.188,36.469
30.172,36.441
30.183,36.435
30.239,36.519
30.21,36.489
30.209,36.446
30.236,36.463
30.201,36.477
30.296,36.511
30.298,36.47
30.216,36.473
30.275,36.54
30.357,36.485
30.335,36.559
30.33,36.553
30.301,36.52
30.389,36.524
30.42,36.579
30.324,36.436
30.285,36.456
30.309,36.447
30.39,36.461
30.328,36.44
30.357,36.449
30.365,36.488
30.417,36.541
30.432,36.543
30.439,36.555
30.426,36.532
30.342,36.517
30.383,36.486
30.35,36.467
30.342,36.466
30.353,36.482
30.34,36.497
30.347,36.448
30.423,36.538
30.462,36.561
30.385,36.546
30.429,36.57
30.371,36.483
30.383,36.516
30.336,36.458
30.359,36.457
30.206,36.441
30.376,36.439
30.337,36.406
30.288,36.402
30.288,36.391
30.267,36.397
30.275,36.43
30.275,36.418
30.28,36.439
30.307,36.41
30.385,36.38
30.236,36.416
30.326,36.373
30.321,36.375
30.417,36.429
30.318,36.433
30.385,36.428
30.366,36.417
30.383,36.433
30.339,36.411
30.311,36.451
30.461,36.435
30.433,36.496
30.549,36.559
30.444,36.541
30.445,36.541
30.405,36.516
30.447,36.55
30.333,36.496
30.377,36.469
30.38,36.439
30.399,36.437
30.418,36.439
30.431,36.451
30.483,36.543
30.495,36.536
30.456,36.503
30.465,36.545
30.44,36.498
30.517,36.5
30.422,36.441
30.385,36.427
30.323,36.42
30.396,36.393
30.388,36.42
30.419,36.432
30.38,36.403
30.38,36.427
30.358,36.418
30.413,36.42
30.38,36.464
30.374,36.45
30.441,36.45
30.439,36.447
30.318,36.474
30.354,36.505
30.375,36.494
30.363,36.471
30.349,36.455
30.385,36.465
30.359,36.473
30.298,36.476
30.393,36.467
30.303,36.46
30.317,36.492
30.379,36.468
30.32,36.439
30.3,36.449
30.311,36.43
30.241,36.475
30.293,36.424
30.31,36.456
30.327,36.426
30.307,36.453
30.31,36.409
30.285,36.398
30.36,36.394
30.373,36.385
30.364,36.405
30.364,36.462
30.372,36.386
30.379,36.432
30.364,36.37
30.317,36.409
30.285,36.331
30.309,36.339
30.244,36.341
30.243,36.347
30.324,36.409
30.332,36.444
30.394,36.435
30.407,36.422
30.416,36.465
30.418,36.427
30.464,36.449
30.469,36.487
30.499,36.49
30.49,36.497
30.472,36.511
30.59,36.534
30.467,36.55
30.593,36.49
30.563,36.524
30.585,36.527
30.594,36.524
30.586,36.541
30.558,36.5
30.548,36.492
30.53,36.482
30.481,36.492
30.475,36.478
30.487,36.479
30.457,36.495
30.538,36.497
30.472,36.493
30.534,36.477
30.577,36.433
30.478,36.477
30.485,36.489
30.538,36.54
30.572,36.549
30.635,36.53
30.583,36.512
30.632,36.514
30.558,36.476
30.582,36.508
30.517,36.474
30.632,36.506
30.534,36.448
30.514,36.491
30.596,36.65
30.605,36.527
30.608,36.575
30.647,36.56
30.668,36.519
30.643,36.532
30.552,36.609
30.613,36.583
30.59,36.55
30.589,36.556
30.589,36.542
30.666,36.586
30.661,36.582
30.646,36.54
30.651,36.585
30.641,36.544
30.688,36.506
30.74,36.531
30.727,36.493
30.662,36.515
30.733,36.522
30.66,36.531
30.649,36.523
30.65,36.531
30.595,36.552
30.573,36.544
30.572,36.531
30.615,36.548
30.585,36.488
30.681,36.498
30.623,36.538
30.638,36.55
30.62,36.523
30.641,36.473
30.648,36.558
30.644,36.509
30.541,36.439
30.534,36.502
30.513,36.555
30.506,36.431
30.614,36.451
30.42,36.472
30.606,36.5
30.594,36.511
30.501,36.526
30.543,36.499
30.618,36.507
30.53,36.547
30.487,36.472
30.534,36.459
30.626,36.489
30.562,36.448
30.588,36.407
30.629,36.433
30.666,36.52
30.631,36.532
30.63,36.484
30.559,36.46
30.618,36.492
30.612,36.482
30.611,36.494
