Min,Max
30.809,36.33
30.772,36.335
30.692,36.449
30.78,36.426
30.787,36.44
30.775,36.412
30.766,36.341
30.758,36.369
30.777,36.382
30.973,36.433
31.085,36.467
31.077,36.464
31.104,36.429
31.178,36.36
31.173,36.344
31.23,36.496
31.212,36.442
31.178,36.449
31.167,36.389
31.181,36.425
31.135,36.448
31.177,36.427
31.172,36.409
31.12,36.418
31.088,36.384
31.041,36.386
30.956,36.352
30.972,36.412
30.931,36.427
30.949,36.449
30.882,36.448
30.811,36.442
30.889,36.443
30.839,36.437
30.836,36.478
30.829,36.426
30.836,36.405
30.843,36.432
30.866,36.421
30.909,36.497
30.942,36.477
30.896,36.492
30.892,36.465
30.839,36.466
30.712,36.441
30.802,36.502
30.786,36.515
30.855,36.531
30.723,36.529
30.738,36.488
30.824,36.46
30.849,36.489
30.889,36.47
30.92,36.423
30.983,36.45
30.93,36.424
31.021,36.449
31.003,36.439
31.028,36.466
31.002,36.423
31.004,36.438
31.039,36.429
31.079,36.371
31.186,36.488
31.166,36.524
31.171,36.478
31.2,36.507
31.186,36.46
31.16,36.46
31.112,36.42
31.121,36.394
31.051,36.396
31.001,36.385
30.953,36.387
30.952,36.341
31.007,36.429
31.11,36.481
31.17,36.513
31.202,36.468
31.195,36.496
31.196,36.439
31.233,36.539
31.246,36.534
31.228,36.516
31.252,36.532
31.246,36.53
31.236,36.496
31.228,36.513
31.21,36.501
31.186,36.491
31.202,36.579
31.238,36.539
31.216,36.496
31.205,36.485
31.215,36.5
31.213,36.527
31.201,36.441
31.216,36.505
31.186,36.471
31.207,36.5
31.238,36.511
31.222,36.476
31.186,36.481
31.199,36.513
31.181,36.514
31.211,36.511
31.188,36.51
31.211,36.497
31.192,36.465
31.211,36.44
31.219,36.492
31.182,36.409
31.161,36.412
31.205,36.467
31.198,36.491
31.177,36.476
31.122,36.398
31.235,36.507
31.231,36.492
31.262,36.51
31.25,36.508
31.232,36.475
31.227,36.458
31.259,36.506
