Min,Max
26.515,33.792
26.517,33.764
26.544,33.786
26.536,33.789
26.589,33.779
26.597,33.82
26.604,33.83
26.622,33.836
26.623,33.819
26.614,33.828
26.62,33.81
26.602,33.806
26.595,33.815
26.557,33.817
26.544,33.793
26.528,33.804
26.543,33.801
26.514,33.821
26.549,33.802
26.536,33.8
26.557,33.784
26.543,33.806
26.549,33.827
26.524,33.781
26.539,33.8
26.536,33.804
26.503,33.736
26.552,33.83
26.536,33.775
26.524,33.817
26.526,33.787
26.509,33.786
26.537,33.818
26.56,33.832
26.57,33.858
26.546,33.842
26.578,33.845
26.563,33.852
26.571,33.871
26.57,33.848
26.572,33.849
26.554,33.897
26.589,33.886
26.565,33.873
26.539,33.844
26.539,33.844
26.539,33.844
26.539,33.844
26.539,33.844
26.579,33.842
26.58,33.852
26.587,33.853
26.587,33.838
26.573,33.839
26.563,33.802
26.572,33.82
26.577,33.812
26.588,33.817
26.595,33.809
26.585,33.83
26.569,33.822
26.568,33.809
26.573,33.817
26.568,33.82
26.552,33.816
26.592,33.839
26.586,33.876
26.619,33.874
26.574,33.868
26.559,33.817
26.548,33.822
26.563,33.821
26.562,33.835
26.555,33.866
26.544,33.845
26.537,33.856
26.593,33.866
26.6,33.875
26.62,33.904
26.608,33.87
26.583,33.869
26.544,33.834
26.567,33.833
26.53,33.832
26.552,33.863
26.567,33.877
26.573,33.833
26.589,33.859
26.568,33.851
26.627,33.86
26.641,33.889
26.63,33.878
26.616,33.888
26.589,33.886
26.599,33.898
26.589,33.884
26.596,33.897
26.577,33.911
26.598,33.915
26.565,33.861
26.578,33.869
26.573,33.881
26.583,33.868
26.594,33.883
26.588,33.9
26.593,33.887
26.619,33.915
26.633,33.933
26.63,33.927
26.625,33.951
26.658,33.945
26.633,33.921
26.636,33.907
26.627,33.865
26.629,33.904
26.598,33.884
26.607,33.895
26.586,33.857
26.583,33.864
26.555,33.836
26.58,33.841
26.582,33.859
26.537,33.834
26.522,33.802
26.538,33.829
26.55,33.823
26.545,33.836
26.562,33.865
26.566,33.871
26.566,33.848
26.563,33.861
26.54,33.864
26.59,33.874
26.605,33.869
26.61,33.857
26.557,33.803
26.581,33.813
26.598,33.843
26.623,33.883
26.597,33.848
26.565,33.836
26.534,33.817
26.53,33.792
26.534,33.816
26.518,33.808
26.519,33.81
26.526,33.806
26.535,33.799
26.515,33.79
26.508,33.772
26.507,33.766
26.538,33.771
26.533,33.806
26.538,33.786
26.574,33.806
26.582,33.807
26.561,33.798
26.595,33.799
26.628,33.83
26.59,33.852
26.636,33.883
26.624,34.097
26.632,34.177
26.619,34.268
26.636,34.485
26.615,34.481
26.612,34.453
26.612,34.453
26.612,34.453
26.612,34.453
26.612,34.453
26.703,34.551
26.715,34.522
26.736,34.569
26.709,34.429
26.745,34.417
26.708,34.26
26.718,34.154
26.697,34.074
26.7,34.099
26.731,34.289
26.707,34.329
26.73,34.344
26.729,34.139
26.745,34.126
26.749,34.098
26.722,33.993
26.745,34.06
26.745,34.039
26.741,34.068
26.726,34.002
26.757,33.982
26.739,34.028
26.729,33.993
26.704,33.948
26.701,33.942
26.712,34.026
26.711,33.973
26.711,33.953
26.706,33.965
26.706,34.009
26.75,34.13
26.749,33.967
26.738,33.952
26.715,34.004
26.684,33.994
26.717,33.954
26.688,33.937
26.746,33.935
26.704,33.922
26.701,33.874
26.696,33.915
26.703,33.93
26.721,33.93
26.708,33.914
26.687,33.909
26.679,33.914
26.692,33.913
26.705,33.926
26.701,33.939
26.698,33.929
26.702,33.915
26.685,33.91
26.683,33.929
26.726,33.957
26.718,33.94
26.701,33.953
26.687,33.928
26.714,33.933
26.72,33.979
26.721,33.98
26.716,33.95
26.728,33.955
26.727,33.962
26.702,33.952
26.715,33.946
26.708,33.963
26.74,33.97
26.739,33.962
26.696,33.94
26.716,33.942
26.701,33.953
26.704,33.934
26.726,33.958
26.731,33.962
26.699,33.92
26.697,33.927
26.676,33.917
26.695,33.937
26.737,33.963
26.734,33.998
26.684,33.932
26.705,33.939
26.724,33.96
26.695,33.941
26.685,33.953
26.704,33.963
26.71,33.935
26.743,33.944
26.737,33.948
26.734,33.956
26.728,33.986
26.74,33.953
26.74,33.934
26.685,33.952
26.678,33.927
26.689,33.917
26.719,33.913
26.716,33.923
26.726,33.898
26.703,33.902
26.694,33.865
26.718,33.96
26.751,33.92
26.756,33.953
26.743,33.971
26.772,33.998
26.772,33.973
26.787,34.0
26.772,33.993
26.761,33.951
26.763,33.956
26.731,33.953
26.747,33.956
26.751,33.944
26.725,33.95
26.748,33.947
26.751,33.978
26.752,33.995
26.752,33.995
26.752,33.995
26.752,33.995
26.721,33.984
26.71,33.963
26.687,33.956
26.68,33.986
26.706,33.99
26.72,34.02
26.721,34.02
26.669,33.997
26.703,34.002
26.724,34.023
26.751,34.032
26.765,34.029
26.735,33.992
26.745,33.974
26.717,33.956
26.734,33.992
26.734,33.993
26.735,33.969
26.748,33.981
26.726,33.989
26.713,33.941
26.719,33.966
26.733,33.987
26.739,33.982
26.718,33.983
26.742,33.947
26.729,33.973
26.744,33.995
26.76,34.018
26.74,33.999
26.738,34.028
26.758,34.03
26.74,34.021
26.742,34.024
26.749,34.03
26.745,34.017
26.715,33.983
26.728,33.996
26.667,33.944
26.667,33.946
26.685,33.949
26.678,33.94
26.67,33.948
26.664,33.933
26.68,33.976
26.688,33.982
26.733,34.006
26.751,34.04
26.73,34.002
26.782,34.056
26.735,34.011
26.704,34.028
26.73,34.037
26.74,34.009
26.754,34.006
26.753,34.022
26.732,33.983
26.767,33.998
26.746,33.995
26.753,34.021
26.782,34.031
26.762,34.049
26.704,33.985
26.7,33.97
26.719,33.983
26.72,34.003
26.704,33.998
26.719,33.995
26.711,33.993
26.735,33.999
26.721,34.002
26.73,33.998
26.722,34.021
26.743,34.025
26.754,34.022
26.79,34.032
26.735,34.027
26.75,34.028
26.769,34.041
26.788,34.055
26.779,34.027
26.757,34.031
26.782,34.036
26.761,34.055
26.759,34.055
26.782,34.051
26.707,33.972
26.704,33.997
26.682,33.967
26.699,34.011
26.728,34.017
26.742,34.054
26.716,34.016
26.694,33.989
26.693,33.993
26.729,34.026
26.739,34.044
26.737,34.026
26.706,33.957
26.71,33.934
26.729,33.958
26.729,33.991
26.741,33.994
26.753,33.967
26.705,33.955
26.689,33.956
26.709,33.967
26.698,33.96
26.713,33.975
26.716,33.994
26.721,34.028
26.755,34.041
26.736,34.056
26.727,34.029
26.726,34.032
26.759,34.056
26.746,34.032
26.731,34.019
26.727,33.995
26.724,34.021
26.755,34.015
26.759,34.056
26.715,34.009
26.717,34.015
26.715,34.008
26.699,33.965
26.709,33.985
26.69,34.014
26.682,34.002
26.696,33.993
26.696,33.993
26.696,33.993
26.696,33.993
26.696,33.993
26.727,34.035
26.707,34.036
26.684,34.03
26.677,34.022
26.684,34.032
26.686,34.03
26.722,34.048
26.701,34.063
26.715,34.067
26.716,34.051
26.726,34.037
26.729,34.027
26.768,34.048
26.758,34.035
26.759,34.007
26.768,34.002
26.782,34.018
26.782,34.035
26.759,34.009
26.749,34.024
26.726,34.015
26.743,34.035
26.736,34.049
26.736,34.062
26.746,34.044
26.738,34.046
26.712,34.028
26.756,34.027
26.736,34.005
26.733,34.021
26.74,34.048
26.768,34.073
26.766,34.073
26.762,34.032
26.744,33.998
26.734,34.015
26.722,34.042
26.754,34.011
26.722,34.016
26.71,34.015
26.695,33.966
26.714,33.989
26.718,34.012
26.743,33.99
26.784,34.021
26.758,34.038
26.792,34.065
26.809,34.082
26.79,34.044
26.762,34.039
26.748,34.002
26.789,34.006
26.799,34.042
26.778,34.06
26.774,34.03
26.721,33.988
26.711,33.972
26.709,33.999
26.712,33.968
26.705,33.974
26.715,34.002
26.728,34.016
26.714,34.005
26.7,34.023
26.712,34.013
26.704,34.028
26.711,34.035
26.706,34.022
26.707,34.018
26.68,33.992
26.709,33.972
26.684,33.971
26.731,33.97
26.735,33.97
26.747,33.971
26.724,33.972
26.755,33.992
26.729,33.958
26.76,33.994
26.728,33.983
26.705,34.007
26.736,34.005
26.737,34.002
26.747,34.003
26.769,34.042
26.719,34.038
26.779,34.098
26.792,34.086
26.809,34.099
26.824,34.101
26.784,34.091
26.762,34.049
26.741,34.028
26.755,34.032
26.779,34.031
26.788,34.027
26.771,34.018
26.815,34.046
26.806,34.027
26.79,34.007
26.815,34.03
26.803,34.013
26.825,34.058
26.814,34.072
26.785,34.053
26.771,34.036
26.782,34.031
26.768,34.042
26.789,34.078
26.788,34.073
26.789,34.048
26.789,34.048
26.789,34.048
26.789,34.048
26.789,34.048
26.672,33.951
26.686,33.968
26.69,33.973
26.672,33.954
26.683,33.929
26.711,33.969
26.693,33.974
26.709,33.979
26.691,33.966
26.669,33.96
26.668,33.933
26.665,33.923
26.665,33.952
26.664,33.943
26.681,33.927
26.693,33.937
26.677,33.932
26.699,33.966
26.685,33.95
26.714,33.965
26.701,33.957
26.7,33.944
26.701,33.953
26.712,33.968
26.708,33.936
26.703,33.946
26.686,33.965
26.684,33.942
26.679,33.963
26.699,33.945
26.69,33.951
26.664,33.959
26.692,33.974
26.701,33.994
26.699,33.977
26.683,34.012
26.693,34.001
26.709,34.023
26.697,34.012
26.699,33.993
26.743,34.03
26.726,34.008
26.74,34.008
26.734,34.027
26.7,33.995
26.674,33.987
26.697,33.985
26.713,34.0
26.733,34.025
26.727,34.02
26.7,34.002
26.656,33.991
26.69,33.993
26.721,34.019
26.735,34.042
26.725,34.028
26.756,34.081
26.769,34.085
26.782,34.075
26.798,34.082
26.802,34.064
26.788,34.09
26.77,34.064
26.783,34.075
26.788,34.071
26.807,34.084
26.797,34.054
26.784,34.066
26.768,34.068
26.755,34.037
26.741,34.017
26.743,34.046
26.772,34.067
26.767,34.077
26.767,34.071
26.75,34.054
26.74,34.046
26.721,34.044
26.712,34.057
26.767,34.056
26.761,34.069
26.75,34.046
26.75,34.066
26.752,34.095
26.779,34.073
26.753,34.086
26.684,34.022
26.71,34.043
26.735,34.031
26.749,34.048
26.72,34.04
26.735,34.062
26.733,34.058
26.736,34.064
26.743,34.066
26.723,34.084
26.719,34.058
26.742,34.054
26.751,34.068
26.735,34.042
26.742,34.054
26.716,34.048
26.719,34.046
26.729,34.037
26.735,34.033
26.746,34.043
26.751,34.029
26.774,34.069
26.751,34.061
26.766,34.1
26.734,34.061
26.753,34.073
26.739,34.071
26.73,34.042
26.729,34.063
26.733,34.065
26.713,34.087
26.723,34.076
26.723,34.076
26.723,34.076
26.723,34.076
26.723,34.076
26.699,33.986
26.697,33.999
26.724,34.029
26.737,34.002
26.735,34.03
26.734,34.042
26.748,34.061
26.699,34.042
26.719,34.031
26.714,34.027
26.735,34.06
26.734,34.018
26.7,34.055
26.725,34.08
26.709,34.057
26.713,34.056
26.704,34.037
26.698,34.03
26.722,34.054
26.695,34.017
26.688,33.998
26.668,34.022
26.702,34.001
26.703,34.013
26.709,34.012
26.696,34.025
26.734,34.027
26.705,34.044
26.693,34.025
26.659,34.032
26.667,34.052
26.651,34.029
26.683,34.029
26.691,34.042
26.699,34.055
26.693,34.05
26.693,34.03
26.699,34.069
26.699,34.059
26.677,34.003
26.721,34.035
26.73,34.053
26.756,34.088
26.782,34.087
26.75,34.074
26.752,34.09
26.736,34.075
26.744,34.091
26.754,34.092
26.758,34.084
26.724,34.047
26.73,34.06
26.738,34.061
26.707,34.028
26.705,34.059
26.736,34.07
26.736,34.073
26.762,34.085
26.728,34.081
26.727,34.079
26.735,34.077
